SRR6743920	SRR6743924	SRR6743927	SRR6743930	SRR6743933	SRR6743936	SRR6743938	SRR6743943	SRR6743949	SRR6743950	SRR6743960	SRR6743965	SRR6743966	SRR6743967	SRR6743968	SRR6743971	SRR6743974	SRR6743975	SRR6743977	SRR6743984	SRR6743990	SRR6743993	SRR6743995	SRR6744018	SRR6744021	SRR6744029	SRR6744030	SRR6744032	SRR6744035	SRR6744038	SRR6744047	SRR6744055	SRR6744056	SRR6744057	SRR6744058	SRR6744059	SRR6744060	SRR6744074	SRR6744075	SRR6744086	SRR6744087	SRR6744092	SRR6744094	SRR6744095	SRR6744097	SRR6744099	SRR6744101	SRR6744105	SRR6744107	SRR6744108	SRR6744114	SRR6744116	SRR6744121	SRR6744122	SRR6744125	SRR6744126	SRR6744133	SRR6744134	SRR6744139	SRR6744141	SRR6744142	SRR6744144	SRR6744151	SRR6744152	SRR6744156	SRR6744157	SRR6744164	SRR6744166	SRR6744169	SRR6744170	SRR6744172	SRR6744173	SRR6744176	SRR6744188	SRR6744192	SRR6744196	SRR6744200	SRR6744207	SRR6744208	SRR6744209	SRR6744218	SRR6744219	SRR6744231	SRR6744232	SRR6744238	SRR6744240	SRR6744246	SRR6744248	SRR6744250	SRR6744254	SRR6744257	SRR6744260	SRR6744261	SRR6744262	SRR6744265	SRR6744270	SRR6744279	SRR6744282	SRR6744288	SRR6744291	SRR6744295	SRR6744297	SRR6744303	SRR6744304	SRR6744305	SRR6744308	SRR6744313	SRR6744322	SRR6744326	SRR6744329	SRR6744331	SRR6744335	SRR6744338	SRR6744339	SRR6744342	SRR6744343	SRR6744356	SRR6744360	SRR6744365	SRR6744366	SRR6744367	SRR6744370	SRR6744371	SRR6744376	SRR6744378	SRR6744381	SRR6744391	SRR6744393	SRR6744401	SRR6744403	SRR6744405	SRR6744415	SRR6744421	SRR6744422	SRR6744423	SRR6744429	SRR6744431	SRR6744432	SRR6744434	SRR6744441	SRR6744443	SRR6744444	SRR6744445	SRR6744448	SRR6744454	SRR6744455	SRR6744458	SRR6744460	SRR6744461	SRR6744465	SRR6744470	SRR6744471	SRR6744476	SRR6744477	SRR6744480	SRR6744482	SRR6744485	SRR6744487	SRR6744488	SRR6744497	SRR6744499	SRR6744501	SRR6744507	SRR6744517	SRR6744518	SRR6744519	SRR6744521	SRR6744523	SRR6744535	SRR6744539	SRR6744546	SRR6744547	SRR6744553	SRR6744562	SRR6744563	SRR6744564	SRR6744565	SRR6744567	SRR6744571	SRR6744574	SRR6744576	SRR6744581	SRR6744593	SRR6744599	SRR6744600	SRR6744603	SRR6744606	SRR6744609	SRR6744611	SRR6744613	SRR6744619	SRR6744620	SRR6744623	SRR6744629	SRR6744630	SRR6744632	SRR6744635	SRR6744638	SRR6744639	SRR6744649	SRR6744653	SRR6744658	SRR6744665	SRR6744667	SRR6744673	SRR6744674	SRR6744680	SRR6744684	SRR6744685	SRR6744689	SRR6744695	SRR6744696	SRR6744701	SRR6744702	SRR6744705	SRR6744707	SRR6744710	SRR6744713	SRR6744718	SRR6744723	SRR6744726	SRR6744729	SRR6744735	SRR6744739	SRR6744745	SRR6744747	SRR6744749	SRR6744756	SRR6744758	SRR6744759	SRR6744760	SRR6744766	SRR6744770	SRR6744777	SRR6744778	SRR6744780	SRR6744783	SRR6744790	SRR6744793	SRR6744794	SRR6744796	SRR6744800	SRR6744803	SRR6744804	SRR6744805	SRR6744809	SRR6744815	SRR6744819	SRR6744826	SRR6744829	SRR6744832	SRR6744833	SRR6744842	SRR6744858	SRR6744859	SRR6744860	SRR6744862	SRR6744866	SRR6744875	SRR6744877	SRR6744878	SRR6744883	SRR6744884	SRR6744894	SRR6744896	SRR6744897	SRR6744898	SRR6744901	SRR6744902	SRR6744914	SRR6744916	SRR6744917	SRR6744918	SRR6744925	SRR6744926	SRR6744928	SRR6744930	SRR6744931	SRR6744940	SRR6744941	SRR6744945	SRR6744955	SRR6744962	SRR6744971	SRR6744972	SRR6744973	SRR6744976	SRR6744977	SRR6744980	SRR6744981	SRR6744985	SRR6744991	SRR6744992	SRR6744998	SRR6744999	SRR6745001	SRR6745004
K01284	0	240	9	0	0	107	0	0	9	0	0	0	1928	2	0	2416	0	0	0	0	55	0	0	2	10	0	1839	791	0	325	710	437	0	581	11	0	2432	200	3	617	0	0	6972	6252	5264	0	0	12	2	37	917	0	3	44	32	0	7	0	0	0	0	1451	34	2064	1373	0	541	4772	61	11	420	12	0	622	0	0	0	320	0	8	0	0	0	208	792	555	500	0	0	4492	2393	0	22	0	0	1230	376	1074	12	1296	0	10	13	0	31	2	0	0	43	10	305	0	0	0	2	0	2	152	8	2	2	4	2306	11	16	3	30	0	0	272	3	0	101	1661	58	2384	3544	4	37	131	52	508	1567	55	0	18	0	1556	0	2268	34	0	0	0	3	0	10	3	0	239	23	29	0	5	59	18	44	908	446	534	4	20	0	0	1364	0	27	0	49	194	67	0	4	4	4347	1570	843	0	0	0	0	960	5	0	0	4970	127	7	2	19	432	102	0	472	0	0	46	1353	8930	20	0	5272	14	249	8	0	2149	0	3	9	0	59	0	27	0	0	0	0	201	0	2	0	5	0	0	0	0	0	5	0	207	95	14	1169	331	7	0	0	0	12	0	1383	3	166	389	13	33	20	192	0	732	16152	6	1060	9	0	17	317	270	26	4	316	2	40	2	732	0	0	2561	3	3	0	0	0	2412	23	0	119	15	53	462	4073	0	36	1049	723	1499
K01286	7	2	0	333	4	283	3	59	15	36963	0	237	0	1926	31975	0	8	31	32132	256	69	36056	190	47	17155	0	0	186	67	500	3	1661	158	33	3	142657	12	255	63704	0	49501	43989	17	0	10	12359	181	0	3	0	27	168	26534	13	2	0	88180	607	42	177545	93037	45	5	0	4	46482	50	304	0	90	181	0	72	0	35200	9	0	123	7845	429	15	0	0	85	0	0	0	114	0	0	144	1264	339	60	0	0	0	10	25	0	69899	245	93	2034	97	3	152	14118	30	18199	5	41	139	59175	11041	53690	107162	47724	54	26	7128	37	20	400	614	104	32733	54	68522	252	21170	69	0	0	59	0	0	50	42	76	0	0	33	0	52814	49035	65	113	52	0	0	40715	140979	0	29725	6	38547	0	17733	0	0	56	7	2	50	9	0	11	0	0	27418	44	83	40682	66	0	180	0	82198	0	10	87878	0	4	46	0	272	17	96126	40498	48	106	4440	0	50	18	2	15941	14	0	151	109	18	35	27452	94090	0	41	77	39	0	6	43978	78	0	66639	50	69582	0	34	24	0	35351	67391	61	0	0	44714	16939	258	0	88338	52876	36395	0	325	125970	94	20	0	64	44	35	195	35	44	25549	7	1289	72	47710	5	55789	0	55	0	9	4	105	75	0	4	0	387	524	76	11	0	2	0	2	0	8	5146	0	0	115	135927	91	0	0	126	6920	75679	0	96	62695	0	13845	77	0	59	88	111	28	142	75
K01289	0	83	0	0	0	14	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	2	0	432	222	0	193	0	209	0	134	0	0	236	19	0	143	0	0	300	256	168	0	0	297	0	54	11	0	0	0	11	0	2	0	0	0	0	553	5	0	130	0	748	13	36	0	984	237	0	0	0	0	0	99	0	3	0	0	0	37	596	341	64	0	0	287	35	0	2	0	0	110	73	492	0	621	0	0	0	0	116	0	0	0	8	0	19	0	0	0	0	0	0	0	3	0	2	0	259	0	0	0	0	0	0	174	0	0	0	81	0	98	168	0	101	3	16	7	98	42	0	0	0	640	0	65	97	0	0	0	0	0	0	3	0	22	92	4	0	0	388	0	27	151	338	39	0	0	0	0	212	0	4	0	4	154	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	551	0	0	0	0	65	1825	0	49	0	0	95	100	128	0	0	1345	0	383	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	3	0	5	0	0	2	3	61	110	262	108	0	0	0	3	62	0	231	0	123	3	31	5	211	212	0	17	4030	0	277	0	0	2	119	2	0	0	68	0	0	0	306	0	0	204	0	0	0	0	0	0	0	0	225	42	0	129	518	0	0	8	0	597
K01297	4	111	583	0	0	0	327	0	22	0	2	0	26	2	0	0	508	905	6	1928	0	0	349	1618	3734	0	38	0	0	2	67	13	243	213	3235	6	295	63	153	849	0	0	67	19	5	0	170	367	1123	456	153	1227	2	0	0	225	0	421	0	0	0	127	6	452	161	3	413	84	606	15	0	174	0	42	0	1213	14	587	0	3	42	17	0	1601	340	4	66	6	591	9	10	0	2	326	0	6	438	17	1576	249	0	0	0	0	0	7	0	47	31	0	367	5	3	106	0	2	27	5	149	0	200	0	10	498	66	574	465	0	0	5	0	659	0	43	0	10	2	71	0	73	0	9	0	244	0	41	310	0	880	400	6	0	0	133	0	5	0	15	0	0	0	254	1919	1797	3	6	23	509	21	0	0	271	1121	0	0	3174	0	20	0	178	0	2	1029	35	0	16	66	93	0	0	298	2	55	2949	0	30	23	16	0	0	239	0	0	39	3	3	1376	11	3	28	0	19	212	4	398	6	5	2	1742	108	1918	7	0	0	365	328	164	4	2	0	31	0	0	0	1051	108	0	19	0	10	693	130	67	107	2	535	0	0	0	0	0	86	4	3	38	704	2	4	12	0	0	469	4227	29	0	0	14	2145	3	258	401	54	1457	544	3238	53	0	0	203	881	2130	4	0	0	51	20	0	0	169	0	1351	234	167	395	569	61	0
K01299	0	3	174	0	0	8	0	0	0	0	0	0	290	0	0	89	0	2	0	2	2543	0	17	0	0	2	981	15	0	11	130	3	0	2	0	0	315	46	0	347	0	0	53	10	181	0	0	680	0	0	0	0	0	0	5	0	0	0	0	0	0	217	0	10	335	0	374	1052	11	3	292	17	61	0	0	0	0	663	0	6	0	0	0	118	250	43	4	0	0	776	7	0	151	0	47	195	118	165	3	10	0	5	2	0	77	0	0	0	0	0	2	0	0	0	2	0	0	2	20	0	138	0	88	3	69	0	9	0	0	28	2	0	382	483	107	1335	578	0	214	3	97	388	881	3	0	0	7	334	0	233	125	0	0	0	4	0	0	7	0	0	42	60	0	0	30	0	453	114	334	682	7	2	0	0	367	0	2	0	0	237	0	0	2	0	3710	64	294	0	0	0	19	120	0	0	0	413	0	0	0	0	5	124	0	14	0	0	93	517	2053	13	0	809	0	165	0	0	1144	0	0	0	0	118	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	599	68	58	229	137	0	0	160	0	142	0	52	0	723	9	83	3	5	7	0	206	94	0	5	0	0	0	97	1549	0	0	12	2	0	0	150	2	0	9	0	7	0	0	0	507	64	0	14	623	0	0	295	0	352	4	12	829
K01303	10	156	0	3	0	99	0	0	0	0	0	2	66	0	0	99	0	0	0	0	0	0	0	0	0	0	510	1989	0	1646	161	647	0	295	0	0	2188	144	0	106	0	0	1040	1260	1676	0	0	2	0	17	82	0	3	2	3	0	0	0	0	0	0	561	0	12	636	0	161	142	0	0	218	48	4	0	0	0	0	58	0	2	0	0	0	0	137	5	1841	0	0	67	2398	0	2	0	0	47	724	187	3	9	0	2	0	0	1123	3	0	0	2	0	1444	2	0	0	0	0	0	0	6	0	0	0	814	3	0	0	0	0	0	137	0	0	7	1137	24	187	0	0	32	468	29	0	45	131	0	0	0	2799	5	1077	3	0	0	0	3	3	0	4	0	0	3	5	0	0	4	0	0	948	627	34	5	0	0	0	738	0	0	0	7	30	0	0	0	3	0	0	50	0	0	0	0	131	0	0	0	38	0	2	2	0	253	0	0	122	0	0	120	1288	1034	16	0	375	0	164	0	0	98	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	82	127	53	196	297	0	0	0	3	4	0	2791	0	0	574	0	12	1139	280	0	37	1058	0	263	2	0	9	291	0	0	0	683	0	123	2	242	2	8	2651	0	0	0	3	6	53	0	0	277	17	2	1007	172	0	29	2872	376	2
K01304	1221	141	774	79	1422	2	499	3	4184	1841	2857	3109	563	58	1060	2	334	1149	1735	2410	423	1675	606	1911	8783	11	92	887	0	162	83	69	268	394	1789	4739	570	128	3378	1248	2076	1503	243	62	2	1049	201	1089	1959	938	142	1089	1634	0	2	403	2670	385	4	5902	4016	344	506	1058	180	1872	598	212	850	987	88	577	581	101	1309	1493	5	1002	396	1716	43	17	2297	1687	448	17	163	451	832	29	51	76	107	597	4465	244	607	326	810	361	2629	28	708	106	11	2169	863	485	43	842	939	1231	190	2495	351	2176	5071	1152	3275	1054	385	157	14	698	197	634	1867	2	2632	139	1016	686	414	86	3191	124	6	85	217	169	1877	347	174	425	2292	1970	1248	828	1711	916	745	1477	8300	294	1127	6	2428	2661	916	0	487	714	1185	1580	1563	17	74	703	159	994	954	385	2106	1603	17	1936	1760	29	4060	150	2	4374	1235	5054	2	166	121	243	4810	1692	192	282	355	2133	0	179	82	483	961	376	757	7	3766	106	1453	3326	2315	84	232	135	6	18	2723	942	248	2478	19	3004	1010	166	1406	2021	1479	3197	368	1649	228	1796	482	125	3786	3046	1447	1588	547	169	5227	14	1028	4962	1200	111	2142	243	225	767	980	711	119	1170	2400	175	3225	4	408	1938	326	196	119	0	13	1992	4932	81	32	397	31	2116	0	546	380	138	1389	858	4008	402	2	5468	625	719	1587	28	289	4062	250	320	3325	175	942	990	1809	449	181	707	1132	115	496
K01338	42	6728	9159	13	9	306	234	18	4093	4	16	2908	7601	14	0	4232	2	168	2	14	335	13	0	11	12	48	10450	9871	25	13994	3803	7011	5	4774	12	0	13890	852	0	8005	12	9	13547	17310	14671	0	4	3387	14	6187	2307	4	8	202	28	7	45	0	3	0	0	14237	99	15829	7220	0	12726	6545	3910	49	8728	8178	12	3316	0	0	9	6810	0	178	5	14	7	9455	7597	2987	6931	0	338	10475	6029	11	2147	19	18701	4676	4899	5292	68	7233	0	102	27	2	6822	23	440	2	247	15	10580	3	14	5	4	0	16	775	13233	305	892	5	7067	48	188	8	14	2	20	4974	11	2	4654	8188	123	8544	6268	29	5174	569	1614	1474	11647	10065	0	39	2	11961	7344	9527	2107	0	10	0	17	5	8	4509	2	578	942	3023	13	15	94	32	4328	7724	7050	12039	13	97	521	11	3980	3	90	0	180	5695	139	0	4313	19	8102	3127	3633	8	3	0	4368	5959	0	5	5	13964	218	20	17	46	2806	7253	3	2779	0	27	2406	12364	19681	336	4	5370	71	8605	36	8	6785	6	10	4	2	92	17	58	10	0	0	2	752	0	35	31	3	0	35	2	14	0	5	41	12679	2376	7638	4276	4277	10	0	4095	14	4835	0	7376	30	1663	2838	6549	96	5063	3667	12	2021	24459	3	7033	32	36	78	2814	405	91	0	1959	29	3331	14	9657	3	17	8977	2	19	17	6	19	9956	5041	53	2635	6332	91	7118	12088	24	5092	9541	1172	3282
K01354	2	1231	3527	9	0	126	5	8	51	2	17	0	8799	13	0	8	2	22	5	43	11986	3	351	3	4	19	3366	3414	1668	1099	14413	3198	19	1832	2	0	555	73	3	3524	0	2	170	16067	41	989	4	1686	0	408	25	12	0	31	13	4	32	0	2	2	0	199	7	19087	11688	0	16809	1326	1985	140	19834	1854	1600	4841	0	84	0	1586	2	41	0	0	0	1246	168	203	6847	0	54	5607	531	9	2814	5	3854	9768	293	829	0	361	0	73	6	14	10949	1598	0	4	21	28	323	32	867	0	3	0	15	4	602	71	249	2	9469	367	402	5	134	8	0	705	8	2	12468	1098	4703	4956	379	19	3739	12	1042	1102	9602	6162	0	0	46	18698	1180	543	2006	0	14	0	9	2	3	804	10	195	6183	191	86	15	4215	356	17614	133	2212	1489	430	4	891	9	81	175	214	0	67	173	6	0	5	4030	904	530	2410	15	11	0	10	18430	14	0	2	773	153	14	146	1486	414	6626	88	2432	4	0	110	148	2722	159	6	1571	106	5787	0	0	4185	0	8	12	13	1892	4	12	2	0	18	0	5	0	18	0	4	0	8	2	57	0	178	131	7934	2899	176	18642	1997	0	0	5714	976	6483	0	8749	40	5166	66	1233	56	418	2055	3	1650	3225	0	7234	7	2	16	385	7154	6	0	797	17	58	11	2808	1202	27	6680	7	8	4	2	12	17723	3104	16	698	5675	1355	97	6390	7	4541	601	1170	13150
K01356	32	4701	5107	454	2	230	27	10	299	4763	6	224	14198	306	2504	88	0	49	7261	48	31733	6000	616	30	1267	35	2733	4900	941	2289	5221	3320	49	1761	25	10899	3143	575	5534	1729	9160	4361	1017	7202	965	9965	30	4552	0	1154	531	1450	4730	35	29	3	9197	58	22	17151	9451	8491	5625	28069	8193	5246	17613	3978	2535	4675	50580	2926	4323	22916	3414	40	3	2623	1311	104	7	0	9623	1306	4369	4421	5657	1973	64	6152	2680	200	1873	17	3702	7345	1328	1353	6203	972	5172	224	18	415	11845	1196	46	2378	52	2107	1623	4217	241	5181	874	11210	6799	4749	3406	123	1163	8	12733	514	673	14	6714	6	10984	1883	2002	10	3657	4050	17351	8426	2728	1666	4657	112	2540	5436	8544	5765	4361	7344	171	18142	2135	980	2337	2823	14106	2	4078	0	3467	722	2085	158	8967	535	7712	6	8923	1443	10299	2201	9252	4165	4073	51	2949	4279	443	7008	616	0	13273	1330	31	8752	391	11617	9795	3358	2457	17	13720	4479	334	15039	476	0	8	6050	175	2191	3510	454	745	3176	196	1397	3641	6382	1032	3916	9081	2367	16	4043	7949	9012	4	7016	8438	7540	15	58	3793	4486	3065	8542	2	0	466	5428	1269	22	16	4728	3706	5191	2346	30	14158	5	759	103	9069	1661	1047	14033	1895	12	2975	4921	1016	3976	5827	6410	6451	1805	278	2464	970	671	2997	8	4318	1749	16	4638	9116	8	66	1366	6710	6	9	697	10	5284	30	3474	1179	10591	1813	0	95	30	782	10495	16910	13855	6532	1262	11983	1888	889	4838	24	2677	3255	1835	8752
K01358	9199	5261	12277	637	5856	377	2319	27	12921	1515	32213	21220	16822	121	1292	205	3496	13507	566	16733	34485	2091	6517	11831	89542	71	12426	14057	1893	8452	19806	4995	996	6617	26589	14517	11374	1150	4069	8516	3982	8350	2740	32035	2369	7807	1161	8629	9475	6057	812	6959	5020	84	63	1759	2105	6190	7	10657	7652	5649	2812	51386	12936	3486	36382	12474	9855	16246	26278	11683	7388	12702	3268	7627	88	11473	283	34527	453	247	21455	12058	3672	1856	13326	6101	10653	10799	3870	98	7271	3000	56549	19092	5622	3362	10190	6906	4443	289	2953	315	22784	17477	10164	810	558	1688	12275	11350	1530	6230	504	1065	6980	1097	12551	6936	3383	1868	9090	6148	2270	5584	9939	18	6858	3062	1664	4644	13461	4675	19187	13652	2523	1425	9066	1165	14176	8759	14740	14454	3066	3432	9399	71782	7955	4870	7750	3358	19845	2254	1680	49	9103	17608	2361	738	12004	4545	10342	16074	16210	3009	18370	13866	5475	7471	2377	1040	17736	4338	1303	13700	10817	68	2788	1824	22	4945	34098	23042	13123	1865	6143	1901	5859	2892	3131	26219	581	9190	29	6029	1198	1598	8948	3537	6359	17073	3871	3468	2013	9050	17131	5691	10816	1608	67	9073	4610	17303	1421	5065	9042	11350	9391	1289	12877	17717	5006	8468	4937	13328	1810	6225	457	437	70517	6432	2532	2300	4671	2449	6434	95	13341	20863	29629	5880	9230	25447	6877	2660	3108	20696	3400	9526	3639	32820	8707	7460	2097	12159	3097	4528	5655	14	4269	18030	23326	15256	3408	3082	195	15935	20645	3951	3642	2251	5361	8730	14558	8045	3296	6269	10374	6085	19996	164	655	12464	28167	11392	5872	3833	10912	8480	14556	17808	2899	12448	18744	3014	26472
K01361	920	55797	177	126	212	223	52	26	1792	4292	73	231	17220	373	1970	343	21	38	3807	313	7152	5369	653	1533	1407	157	16150	15104	777	19695	15066	4505	24	2121	64	11594	1092	233	4615	590	25731	5187	655	17241	1266	7342	62	1503	96	5057	496	251	3621	558	18	2	8687	6864	6	11779	5307	1234	4471	37264	23743	3396	44398	3613	7673	2066	30096	12279	1236	6251	4235	147	36	1159	687	285	8	21	4716	9351	4329	12812	8797	1747	265	5551	7404	182	18629	4	13220	34671	308	4246	990	14	6306	162	24	451	23237	9696	32	1822	59	2215	738	1287	15484	6344	1284	4335	6514	5391	1001	788	424	412	13843	12718	1164	280	14399	32	7664	5485	1768	2808	51528	3173	8352	6427	1257	167	9057	62	2859	3484	83431	19724	3652	6373	91	43194	2427	3361	1111	6050	20499	850	3303	2	2181	8392	2309	12	17082	953	7991	7180	13747	2121	113015	645	8907	5315	5060	154	5361	4639	237	9955	153	157	11642	2470	395	6628	2485	7066	109	513	5586	1408	15054	3559	82	13185	850	37	9	488	923	1363	1586	3856	3706	27386	71	7633	5536	6399	690	5895	1907	2916	57	1792	5476	10957	687	6996	3933	6273	1578	472	2884	19096	3033	7203	39	2909	166	4573	5518	33	97	3576	3127	3117	943	76721	10330	16	355	9989	25140	7454	2157	12063	14897	1506	3298	33462	20012	12180	1847	36834	4898	8477	642	68	1890	1636	597	18	2363	25067	96	7960	1303	49	122	891	44592	4170	107	189	480	2477	13	27892	1579	9182	3755	14	153	39	1121	9742	67528	79403	3514	3385	23937	568	605	13600	29	17409	1256	723	10409
K01362	8757	5636	6956	1164	16912	1626	3730	49	14992	9192	25651	19746	17994	655	9827	2071	2356	10040	20166	17225	1358	9747	3413	9131	54090	92	7036	30134	24	29516	4275	8754	1881	12751	18188	23775	31476	4943	22201	7838	11602	8980	12575	15431	15563	11954	1103	5454	23286	5771	2750	11979	14143	415	44	3660	19548	2894	22	27660	16630	13571	9273	18450	12277	10855	7797	8126	8516	14544	3862	4279	3118	3604	8934	11885	54	6551	3881	12869	362	232	20529	14584	4641	1712	22350	7232	5903	5959	35455	545	1390	3797	34642	8881	13011	10996	18257	12213	13157	428	5551	504	12144	12687	8666	5368	748	3373	26263	13652	1309	13177	1860	19976	21267	20584	14638	5313	4154	1412	14742	4198	1281	6137	29417	22	17593	4035	5513	4496	5513	13626	4568	6275	3231	1378	2823	6610	10743	4985	4668	5592	10428	9963	5280	39369	11557	17936	3830	7651	41233	2283	6882	88	14742	12502	3942	1164	1821	7322	18614	15206	5484	235	1077	16062	8246	10481	9077	3509	12949	6809	2627	21413	9943	180	57214	3671	1343	18808	9548	31768	2099	3254	3213	1342	27796	9122	2481	6796	1942	30357	39	10228	760	4664	8941	3154	9147	7689	32982	5509	8704	25859	9074	12636	18555	2323	43	9342	10702	18940	3484	14607	17117	13506	11679	1279	15618	17475	9244	21942	4078	12238	3891	10062	12513	896	24005	18192	9301	10784	7366	867	33475	197	9540	34144	14327	3860	13997	7928	9704	11370	4467	3873	723	4414	16151	32954	17942	487	10575	11076	5999	14565	8597	37	7573	26286	51773	7710	6628	4430	507	20077	670	7347	2484	7506	11240	9406	27136	8605	38	40392	33096	6543	16035	203	1521	18435	9832	1028	14211	4672	25121	374	18720	12191	2156	3541	46678	1247	9556
K01364	7	224	78	6	0	75	0	0	8	0	0	0	3631	0	0	2943	0	0	8	5	41	11	0	6	2	0	1958	442	8	465	2797	274	0	384	14	0	6442	266	3	1730	4	0	14649	5803	2028	0	2	20	2	21	2045	3	0	126	39	2	15	0	0	0	0	1962	42	1839	1339	0	0	5061	12	57	251	0	0	485	0	0	4	511	0	97	0	0	0	259	148	0	612	0	0	2263	5258	0	50	3	0	2084	248	1652	7	3294	0	45	19	3	8	4	0	7	100	0	450	0	0	8	5	0	0	347	15	4	21	4	2319	3	0	0	11	0	0	179	10	0	284	4504	780	3367	14153	30	86	233	111	442	436	23	0	36	0	2500	13	2466	20	0	0	0	11	0	0	10	0	286	3	0	0	0	48	4	63	44	210	393	2	41	12	0	1224	0	13	0	92	62	83	0	0	26	15808	856	3432	0	0	0	0	1959	4	0	0	2384	340	13	6	23	596	70	0	510	7	0	16	965	2108	60	0	6437	42	210	91	0	12403	2	0	14	0	53	0	2	0	0	0	0	106	0	2	4	10	0	0	3	0	0	31	10	192	0	24	334	848	21	0	0	0	10	0	953	0	266	814	17	69	29	308	11	696	3703	40	1274	14	0	50	608	537	51	2	707	0	31	0	4	11	2	4164	3	4	0	2	0	2748	37	0	8	7	150	426	8306	2	157	1675	4738	961
K01372	5514	20405	27038	2406	8778	2062	1213	46	16223	13187	10687	8760	32251	900	8219	2050	1766	4964	7716	26007	52486	11011	8821	8707	56514	168	26244	46501	4772	15036	30824	20424	1439	15507	6320	25099	22667	3431	18205	12636	28580	13185	15180	36558	9816	21851	909	28123	10408	8029	5318	3592	14051	338	241	2123	16439	3980	28	41975	27461	16905	4563	63596	41818	9722	64516	13864	17723	14594	44491	34500	15470	10598	12921	7443	45	14433	2027	10004	317	155	32547	24754	10508	12557	27188	4447	4918	17329	20182	475	12171	2785	43226	29301	8966	8893	12431	7586	16868	604	8278	695	36978	16744	3579	5686	800	7079	12760	11952	13602	13725	2541	22812	23078	12868	18654	9882	5972	1136	28802	11087	5270	2639	17551	46	20598	11231	4558	2952	37272	24414	51658	32188	18316	1373	21509	1163	13646	14143	33117	26333	9713	15282	4205	70995	10208	14624	19157	7901	61059	2322	8001	74	13837	13018	5365	946	31000	5783	17717	8851	22823	1525	33911	14663	15322	10862	10054	2800	12109	10113	10356	14354	15355	446	29930	9962	64	20630	8740	45361	24667	4017	8754	1578	24947	8133	2004	41958	1813	8317	90	13955	2679	5176	12728	6937	8255	35964	16752	8609	8561	14334	11979	19913	32952	4358	80	20383	18834	21518	1358	13653	25710	22146	11913	2827	7001	28324	7007	12245	4450	12321	4310	10634	3246	641	14057	12875	10275	16502	3818	4361	34243	133	6818	15691	34157	14288	10776	44775	17841	6593	8537	30505	6935	21890	19963	55637	24313	14900	4626	16308	3164	7664	10273	47	7451	64769	13584	31739	14485	1246	295	19247	31063	9194	1713	6431	7857	14349	25521	27436	8255	34304	25398	3289	6441	292	2046	28055	40871	19556	31162	11070	35423	21112	9116	27194	1324	25708	20870	5152	31777
K01376	5182	652	3008	1029	5177	163	1961	21	10502	19392	9705	11612	2751	1357	12335	3	1622	6297	22059	18636	26	16230	2958	6060	30647	57	1275	5669	73	1107	1219	1019	1113	1975	9175	45702	4846	610	31084	3159	29745	22820	1593	443	30	19642	1148	3673	7378	5076	912	4694	17321	6	142	2253	33816	1857	30	71224	39901	2290	4422	6395	1125	17744	4904	1277	8579	6656	310	5102	3603	227	18506	8044	26	4287	4796	9092	193	213	14434	9012	3042	35	452	5578	7897	165	293	817	1068	2301	20891	2824	2222	1381	12944	3091	29235	173	4974	1111	41	9722	4086	8944	267	9782	5222	11117	1295	19338	4633	31683	44429	11696	14472	11051	4597	752	213	5387	1023	2015	20115	25	32922	1226	7807	3070	2026	416	4467	386	60	1078	1930	689	4439	4051	1351	4237	20595	22889	4647	4911	3104	2809	2907	16054	88273	1536	16196	54	21137	8800	8293	23	1571	3290	13320	7883	4782	141	480	3500	506	5658	13991	1635	7670	17246	51	12625	10871	109	25413	1648	13	37559	5874	26641	31	501	910	1504	46677	17692	1290	790	2313	9737	51	3016	1030	5951	12801	2688	3466	46	9536	934	13608	30873	8012	582	1147	3439	45	157	31490	4893	1056	35148	109	31856	3611	1984	9814	10402	12923	38606	2693	6559	4151	21629	5313	500	12637	29610	21201	17812	6779	1257	67230	163	4351	14272	6016	1677	11051	1304	1567	4304	11269	3467	1449	3952	34196	1783	36435	26	2129	6365	2762	992	1491	36	149	24181	18489	606	6558	1678	98	8333	3	4044	2480	733	4748	9895	11856	2009	173	70226	2045	3356	5069	206	3485	49070	591	813	52817	1500	14903	271	7873	3725	899	3565	6509	400	933
