otu	domain	phylum	order	class	family	genus	quality
OTU_58	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|71
OTU_59	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	|100
OTU_60	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	|100
OTU_61	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	unclassified	|100
OTU_62	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|80
OTU_63	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	|93
OTU_64	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	|94
OTU_65	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|100
OTU_66	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	|100
OTU_67	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|97
OTU_68	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
OTU_69	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|89
OTU_70	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	|100
OTU_71	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	|97
OTU_72	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|98
OTU_73	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter	|100
OTU_74	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|79
OTU_75	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Incertae_Sedis	|100
OTU_76	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
OTU_77	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
OTU_78	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|100
OTU_79	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	|100
OTU_80	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|96
OTU_81	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	|100
OTU_82	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|97
OTU_83	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	|100
OTU_84	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	|100
OTU_85	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	|93
OTU_86	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|97
OTU_87	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|88
OTU_88	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Catenibacterium	|100
OTU_89	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Incertae_Sedis	|100
OTU_90	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	|99
OTU_91	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Eggerthella	|100
OTU_92	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	|100
OTU_93	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	|81
OTU_94	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|73
OTU_95	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	|100
OTU_96	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	|100
OTU_97	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_98	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
OTU_99	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	|89
OTU_100	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|82
OTU_101	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_102	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	|100
OTU_103	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	|100
OTU_104	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	|100
OTU_105	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	|96
OTU_106	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	|100
OTU_107	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	|100
OTU_108	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	|96
OTU_109	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|91
OTU_110	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	|100
OTU_111	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
OTU_112	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|100
OTU_113	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	|82
OTU_114	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|89
OTU_115	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Adlercreutzia	|100
OTU_116	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|100
OTU_117	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Barnesiella	|100
OTU_118	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|100
OTU_119	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	|100
OTU_120	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|82
OTU_121	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	|100
OTU_122	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Atopobium	|100
OTU_123	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	|100
OTU_124	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|100
OTU_125	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	|93
OTU_126	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	|100
OTU_127	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Incertae_Sedis	|100
OTU_128	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Incertae_Sedis	|98
OTU_129	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	|100
OTU_130	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	|100
OTU_131	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
