gene	status
CARNS1	candidate
CASC3	candidate
CASKIN1	candidate
CASP10	candidate
CAST	candidate
CASZ1	candidate
CATIP	candidate
CBARP	candidate
CBWD3	candidate
CBX6	candidate
CC2D1A	candidate
CCAR1	candidate
CCDC102A	candidate
CCDC102B	candidate
CCDC107	candidate
CCDC120	candidate
CCDC124	candidate
CCDC168	candidate
CCDC178	candidate
CCDC28A	candidate
CCDC38	candidate
CCDC61	candidate
CCDC63	candidate
CCDC66	candidate
CCDC77	candidate
CCDC81	candidate
CCDC88A	candidate
CCDC9	candidate
CCER1	candidate
CCK	candidate
CCKBR	candidate
CCL26	candidate
CCN6	candidate
CCNB2	candidate
CCNI	candidate
CCNL1	candidate
CCNQ	candidate
CCP110	candidate
CCR5	candidate
CCT6B	candidate
CCT8L2	candidate
CD163L1	candidate
CD1A	candidate
CD1B	candidate
CD1D	candidate
CD200	candidate
CD2BP2	candidate
CD300E	candidate
CD36	candidate
CD3G	candidate
CD58	candidate
CD70	candidate
CD83	candidate
CD86	candidate
CDC20	candidate
CDC23	candidate
CDC25A	candidate
CDC25C	candidate
CDC27	candidate
CDC37	candidate
CDC37L1	candidate
CDC42	candidate
CDC42BPB	candidate
CDC42BPG	candidate
CDC5L	candidate
CDH12	candidate
CDH13	candidate
CDH18	candidate
CDH19	candidate
CDH2	candidate
CDH23	candidate
CDH24	candidate
CDH6	candidate
CDH8	candidate
CDH9	candidate
CDHR1	candidate
CDHR2	candidate
CDHR3	candidate
CDHR4	candidate
CDK11A	candidate
CDK13	candidate
CDK14	candidate
CDKN2AIP	candidate
CDKN2B	candidate
CDON	candidate
CDX4	candidate
CDYL	candidate
CEACAM21	candidate
CELA1	candidate
CELF1	candidate
CELF4	candidate
CENPF	candidate
CENPJ	candidate
CEP152	candidate
CEP170	candidate
CEP19	candidate
CEP76	candidate
CEP83	candidate
CERS3	candidate
CFAP20	candidate
CFAP45	candidate
CFAP47	candidate
CFAP54	candidate
CFAP70	candidate
CFAP74	candidate
CFHR2	candidate
CGB2	candidate
CGB5	candidate
CHAF1B	candidate
CHD1	candidate
CHD3	candidate
CHD5	candidate
CHD6	candidate
CHD7	candidate
CHD8	candidate
CHD9	candidate
CHDH	candidate
CHGA	candidate
CHKB	candidate
CHL1	candidate
CHMP2B	candidate
CHPF2	candidate
CHPT1	candidate
CHRM5	candidate
CHRNB2	candidate
CHST1	candidate
CHST10	candidate
CIAO2A	candidate
CIBAR2	candidate
CILK1	candidate
CILP2	candidate
CIPC	candidate
CITED2	candidate
CIZ1	candidate
CLASP1	candidate
CLASP2	candidate
CLCN4	candidate
CLCN7	candidate
CLDN20	candidate
CLEC19A	candidate
CLEC4G	candidate
CLIC5	candidate
CLIP1	candidate
CLIP2	candidate
CLK3	candidate
CLK4	candidate
CLSTN2	candidate
CLUAP1	candidate
CMKLR1	candidate
CMTR1	candidate
CMTR2	candidate
CNDP2	candidate
CNGA4	candidate
CNKSR1	candidate
CNOT1	candidate
CNOT9	candidate
CNTLN	candidate
CNTN1	candidate
CNTN4	candidate
CNTN6	candidate
CNTNAP1	candidate
CNTNAP2	candidate
CNTNAP3	candidate
CNTRL	candidate
COIL	candidate
COL11A1	candidate
COL12A1	candidate
COL14A1	candidate
COL1A1	candidate
COL1A2	candidate
COL21A1	candidate
COL22A1	candidate
COL25A1	candidate
COL28A1	candidate
COL3A1	candidate
COL4A1	candidate
COL4A2	candidate
COL5A1	candidate
COL5A3	candidate
COL6A3	candidate
COL6A6	candidate
COL7A1	candidate
COL9A2	candidate
COPB2	candidate
COQ10B	candidate
COX7C	candidate
CPEB1	candidate
CPEB2	candidate
CPEB4	candidate
CPNE1	candidate
CPNE5	candidate
CPQ	candidate
CPS1	candidate
CPXM2	candidate
CR1	candidate
CRACD	candidate
CRADD	candidate
CRB1	candidate
CRBN	candidate
CREB3L3	candidate
CREB3L4	candidate
CREBZF	candidate
CRELD2	candidate
CRISPLD1	candidate
CRP	candidate
CRTAM	candidate
CSDE1	candidate
CSF2RA	candidate
CSH1	candidate
CSMD2	candidate
CSMD3	candidate
CSNK1A1	candidate
CSNK1E	candidate
CSNK2A1	candidate
CSNK2B	candidate
CSPG4	candidate
CTCFL	candidate
CTDNEP1	candidate
CTIF	candidate
CTNNA1	candidate
CTNNA3	candidate
CTSS	candidate
CTU2	candidate
CUBN	candidate
CUL1	candidate
CUL4B	candidate
CUL7	candidate
CUL9	candidate
CWC22	candidate
CWH43	candidate
CX3CR1	candidate
CXADR	candidate
CXCR2	candidate
CXXC4	candidate
CXXC5	candidate
CYFIP1	candidate
CYLC1	candidate
CYP2A7	candidate
CYP2C18	candidate
CYP2C9	candidate
CYP2E1	candidate
