otu	domain	phylum	order	class	family	genus	quality
OTU_24	OTU_24	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megamonas	|98
OTU_25	OTU_25	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	|100
OTU_26	OTU_26	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	unclassified	|100
OTU_27	OTU_27	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|98
OTU_28	OTU_28	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	|100
OTU_29	OTU_29	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
OTU_30	OTU_30	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Incertae_Sedis	|100
OTU_31	OTU_31	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	|100
OTU_32	OTU_32	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	|100
OTU_33	OTU_33	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	|83
OTU_34	OTU_34	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
OTU_35	OTU_35	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	|100
OTU_36	OTU_36	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
OTU_37	OTU_37	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_38	OTU_38	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|91
OTU_39	OTU_39	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	|100
OTU_40	OTU_40	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	|87
OTU_41	OTU_41	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	|100
