Gene stable ID version	Gene stable ID	HGNC symbol	HGNC ID	Gene name	Gene description
ENSG00000163877.11	ENSG00000163877	SNIP1	HGNC:30587	SNIP1	Smad nuclear interacting protein 1 
ENSG00000163879.12	ENSG00000163879	DNALI1	HGNC:14353	DNALI1	dynein axonemal light intermediate chain 1 
ENSG00000163882.11	ENSG00000163882	POLR2H	HGNC:9195	POLR2H	"RNA polymerase II, I and III subunit H "
ENSG00000163884.5	ENSG00000163884	KLF15	HGNC:14536	KLF15	KLF transcription factor 15 
ENSG00000163888.4	ENSG00000163888	CAMK2N2	HGNC:24197	CAMK2N2	calcium/calmodulin dependent protein kinase II inhibitor 2 
ENSG00000163898.11	ENSG00000163898	LIPH	HGNC:18483	LIPH	lipase H 
ENSG00000163900.12	ENSG00000163900	TMEM41A	HGNC:30544	TMEM41A	transmembrane protein 41A 
ENSG00000163902.13	ENSG00000163902	RPN1	HGNC:10381	RPN1	ribophorin I 
ENSG00000163904.14	ENSG00000163904	SENP2	HGNC:23116	SENP2	SUMO specific peptidase 2 
ENSG00000163909.9	ENSG00000163909	HEYL	HGNC:4882	HEYL	hes related family bHLH transcription factor with YRPW motif like 
ENSG00000163913.15	ENSG00000163913	IFT122	HGNC:13556	IFT122	intraflagellar transport 122 
ENSG00000163918.13	ENSG00000163918	RFC4	HGNC:9972	RFC4	replication factor C subunit 4 
ENSG00000163923.11	ENSG00000163923	RPL39L	HGNC:17094	RPL39L	ribosomal protein L39 like 
ENSG00000163930.10	ENSG00000163930	BAP1	HGNC:950	BAP1	BRCA1 associated deubiquitinase 1 
ENSG00000163931.18	ENSG00000163931	TKT	HGNC:11834	TKT	transketolase 
ENSG00000163932.17	ENSG00000163932	PRKCD	HGNC:9399	PRKCD	protein kinase C delta 
ENSG00000163933.12	ENSG00000163933	RFT1	HGNC:30220	RFT1	RFT1 glycolipid translocator homolog 
ENSG00000163935.15	ENSG00000163935	SFMBT1	HGNC:20255	SFMBT1	Scm like with four mbt domains 1 
ENSG00000163938.18	ENSG00000163938	GNL3	HGNC:29931	GNL3	G protein nucleolar 3 
ENSG00000163939.20	ENSG00000163939	PBRM1	HGNC:30064	PBRM1	polybromo 1 
ENSG00000163945.20	ENSG00000163945	UVSSA	HGNC:29304	UVSSA	UV stimulated scaffold protein A 
ENSG00000163946.15	ENSG00000163946	TASOR	HGNC:30314	TASOR	transcription activation suppressor 
ENSG00000163947.13	ENSG00000163947	ARHGEF3	HGNC:683	ARHGEF3	Rho guanine nucleotide exchange factor 3 
ENSG00000163950.14	ENSG00000163950	SLBP	HGNC:10904	SLBP	stem-loop histone mRNA binding protein 
ENSG00000163956.14	ENSG00000163956	LRPAP1	HGNC:6701	LRPAP1	LDL receptor related protein associated protein 1 
ENSG00000163959.11	ENSG00000163959	SLC51A	HGNC:29955	SLC51A	solute carrier family 51 member A 
ENSG00000163960.14	ENSG00000163960	UBXN7	HGNC:29119	UBXN7	UBX domain protein 7 
ENSG00000163961.4	ENSG00000163961	RNF168	HGNC:26661	RNF168	ring finger protein 168 
ENSG00000163964.18	ENSG00000163964	PIGX	HGNC:26046	PIGX	phosphatidylinositol glycan anchor biosynthesis class X 
ENSG00000163975.15	ENSG00000163975	MELTF	HGNC:7037	MELTF	melanotransferrin 
ENSG00000163993.7	ENSG00000163993	S100P	HGNC:10504	S100P	S100 calcium binding protein P 
ENSG00000163995.22	ENSG00000163995	ABLIM2	HGNC:19195	ABLIM2	actin binding LIM protein family member 2 
ENSG00000164002.13	ENSG00000164002	EXO5	HGNC:26115	EXO5	exonuclease 5 
ENSG00000164007.11	ENSG00000164007	CLDN19	HGNC:2040	CLDN19	claudin 19 
ENSG00000164008.18	ENSG00000164008	C1orf50	HGNC:28795	C1orf50	chromosome 1 open reading frame 50 
ENSG00000164010.16	ENSG00000164010	ERMAP	HGNC:15743	ERMAP	erythroblast membrane associated protein (Scianna blood group) 
ENSG00000164011.19	ENSG00000164011	ZNF691	HGNC:28028	ZNF691	zinc finger protein 691 
ENSG00000164022.19	ENSG00000164022	AIMP1	HGNC:10648	AIMP1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1 
ENSG00000164023.16	ENSG00000164023	SGMS2	HGNC:28395	SGMS2	sphingomyelin synthase 2 
ENSG00000164024.13	ENSG00000164024	METAP1	HGNC:15789	METAP1	methionyl aminopeptidase 1 
ENSG00000164031.18	ENSG00000164031	DNAJB14	HGNC:25881	DNAJB14	DnaJ heat shock protein family (Hsp40) member B14 
ENSG00000164032.13	ENSG00000164032	H2AZ1	HGNC:4741	H2AZ1	H2A.Z variant histone 1 
ENSG00000164035.11	ENSG00000164035	EMCN	HGNC:16041	EMCN	endomucin 
ENSG00000164037.18	ENSG00000164037	SLC9B1	HGNC:24244	SLC9B1	solute carrier family 9 member B1 
ENSG00000164038.17	ENSG00000164038	SLC9B2	HGNC:25143	SLC9B2	solute carrier family 9 member B2 
ENSG00000164039.16	ENSG00000164039	BDH2	HGNC:32389	BDH2	3-hydroxybutyrate dehydrogenase 2 
ENSG00000164040.18	ENSG00000164040	PGRMC2	HGNC:16089	PGRMC2	progesterone receptor membrane component 2 
ENSG00000164045.13	ENSG00000164045	CDC25A	HGNC:1725	CDC25A	cell division cycle 25A 
ENSG00000164047.6	ENSG00000164047	CAMP	HGNC:1472	CAMP	cathelicidin antimicrobial peptide 
ENSG00000164048.15	ENSG00000164048	ZNF589	HGNC:16747	ZNF589	zinc finger protein 589 
ENSG00000164049.14	ENSG00000164049	FBXW12	HGNC:20729	FBXW12	F-box and WD repeat domain containing 12 
ENSG00000164050.14	ENSG00000164050	PLXNB1	HGNC:9103	PLXNB1	plexin B1 
ENSG00000164051.15	ENSG00000164051	CCDC51	HGNC:25714	CCDC51	coiled-coil domain containing 51 
ENSG00000164053.23	ENSG00000164053	ATRIP	HGNC:33499	ATRIP	ATR interacting protein 
ENSG00000164054.18	ENSG00000164054	SHISA5	HGNC:30376	SHISA5	shisa family member 5 
ENSG00000164056.12	ENSG00000164056	SPRY1	HGNC:11269	SPRY1	sprouty RTK signaling antagonist 1 
ENSG00000164061.5	ENSG00000164061	BSN	HGNC:1117	BSN	bassoon presynaptic cytomatrix protein 
ENSG00000164062.14	ENSG00000164062	APEH	HGNC:586	APEH	acylaminoacyl-peptide hydrolase 
ENSG00000164066.14	ENSG00000164066	INTU	HGNC:29239	INTU	inturned planar cell polarity protein 
ENSG00000164068.17	ENSG00000164068	RNF123	HGNC:21148	RNF123	ring finger protein 123 
ENSG00000164070.13	ENSG00000164070	HSPA4L	HGNC:17041	HSPA4L	heat shock protein family A (Hsp70) member 4 like 
ENSG00000164073.12	ENSG00000164073	MFSD8	HGNC:28486	MFSD8	major facilitator superfamily domain containing 8 
ENSG00000164074.18	ENSG00000164074	ABHD18	HGNC:26111	ABHD18	abhydrolase domain containing 18 
ENSG00000164077.16	ENSG00000164077	MON1A	HGNC:28207	MON1A	"MON1 homolog A, secretory trafficking associated "
ENSG00000164078.16	ENSG00000164078	MST1R	HGNC:7381	MST1R	macrophage stimulating 1 receptor 
ENSG00000164080.15	ENSG00000164080	RAD54L2	HGNC:29123	RAD54L2	RAD54 like 2 
ENSG00000164081.14	ENSG00000164081	TEX264	HGNC:30247	TEX264	"testis expressed 264, ER-phagy receptor "
ENSG00000164082.16	ENSG00000164082	GRM2	HGNC:4594	GRM2	glutamate metabotropic receptor 2 
ENSG00000164086.10	ENSG00000164086	DUSP7	HGNC:3073	DUSP7	dual specificity phosphatase 7 
ENSG00000164087.9	ENSG00000164087	POC1A	HGNC:24488	POC1A	POC1 centriolar protein A 
ENSG00000164088.19	ENSG00000164088	PPM1M	HGNC:26506	PPM1M	"protein phosphatase, Mg2+/Mn2+ dependent 1M "
ENSG00000164089.10	ENSG00000164089	ETNPPL	HGNC:14404	ETNPPL	ethanolamine-phosphate phospho-lyase 
ENSG00000164091.13	ENSG00000164091	WDR82	HGNC:28826	WDR82	WD repeat domain 82 
ENSG00000164093.18	ENSG00000164093	PITX2	HGNC:9005	PITX2	paired like homeodomain 2 
ENSG00000164096.14	ENSG00000164096	ARLN	HGNC:19225	ARLN	allregulin 
