cell	group	reads
R911	CytotoxicT	1753
R916	CytotoxicT	1816
R920	CytotoxicT	1836
R921	CytotoxicT	1768
R925	CytotoxicT	2833
R926	CytotoxicT	1874
R932	CytotoxicT	2365
R943	CytotoxicT	2537
R944	CytotoxicT	1884
R951	CytotoxicT	2134
R953	CytotoxicT	1853
R954	CytotoxicT	1959
R957	CytotoxicT	1695
R961	CytotoxicT	1711
R963	CytotoxicT	3130
R974	CytotoxicT	1885
R979	CytotoxicT	1963
R990	CytotoxicT	1713
R991	CytotoxicT	1759
R994	CytotoxicT	2311
R995	CytotoxicT	1912
R998	CytotoxicT	1845
R1003	CytotoxicT	1912
R1008	CytotoxicT	2054
R1016	CytotoxicT	2715
R1033	CytotoxicT	1784
R1034	CytotoxicT	2130
R1040	CytotoxicT	2934
R1041	CytotoxicT	2067
R1043	CytotoxicT	2562
R1049	CytotoxicT	1769
R1054	CytotoxicT	2688
R1057	CytotoxicT	1903
R1062	CytotoxicT	1837
R1074	CytotoxicT	1848
R1079	CytotoxicT	1914
R1086	CytotoxicT	2061
R1088	CytotoxicT	2939
R1095	CytotoxicT	1765
R1100	CytotoxicT	1704
R1105	CytotoxicT	1858
R1118	CytotoxicT	2354
R1121	CytotoxicT	1835
R1123	CytotoxicT	1889
R1124	CytotoxicT	1967
R1127	CytotoxicT	2357
R1139	CytotoxicT	3211
R1140	CytotoxicT	2744
R1147	CytotoxicT	1824
R1149	CytotoxicT	1775
R1153	CytotoxicT	2148
R1157	CytotoxicT	2239
R1158	CytotoxicT	1891
R1165	CytotoxicT	2020
R1171	CytotoxicT	1712
R1173	CytotoxicT	1851
R1174	CytotoxicT	1857
R1179	CytotoxicT	2160
R1181	CytotoxicT	2867
R1184	CytotoxicT	3065
R1185	CytotoxicT	1781
R1186	CytotoxicT	2094
R1191	CytotoxicT	2246
R1192	CytotoxicT	1925
R1193	CytotoxicT	2785
R1194	CytotoxicT	1789
R1197	CytotoxicT	1772
R1198	CytotoxicT	2266
R1202	CytotoxicT	1945
R1206	CytotoxicT	1684
R1207	CytotoxicT	2333
R1212	CytotoxicT	1774
R1215	CytotoxicT	1730
R1222	CytotoxicT	2028
R1227	CytotoxicT	2504
R1234	CytotoxicT	2770
R1240	CytotoxicT	1670
R1245	CytotoxicT	1858
R1249	CytotoxicT	2095
R1250	CytotoxicT	1749
R1255	CytotoxicT	1963
R1260	CytotoxicT	2485
R1264	CytotoxicT	1964
R1266	CytotoxicT	2198
R1272	CytotoxicT	1736
R1273	CytotoxicT	1807
R1274	CytotoxicT	2142
R1275	CytotoxicT	2616
R1276	CytotoxicT	1817
R1289	CytotoxicT	1860
R1290	CytotoxicT	2162
R1305	CytotoxicT	2278
R1311	CytotoxicT	1789
R1312	CytotoxicT	1678
R1318	CytotoxicT	1690
R1322	CytotoxicT	1909
R1326	CytotoxicT	2494
R1335	CytotoxicT	1791
R1337	CytotoxicT	2341
R1346	CytotoxicT	1999
R1360	CytotoxicT	1677
R1366	CytotoxicT	1715
R1369	CytotoxicT	1813
R1370	CytotoxicT	2329
R1374	CytotoxicT	1754
R1388	CytotoxicT	1841
R1390	CytotoxicT	2060
R1397	CytotoxicT	1894
R1405	CytotoxicT	2595
R1411	CytotoxicT	2366
R1413	CytotoxicT	1742
R1420	CytotoxicT	1731
R1421	CytotoxicT	1902
R1422	CytotoxicT	1751
R1428	CytotoxicT	2487
R1429	CytotoxicT	2255
R1431	CytotoxicT	2421
R1433	CytotoxicT	2609
R1436	CytotoxicT	2049
R1437	CytotoxicT	1737
R1448	CytotoxicT	1875
R1449	CytotoxicT	2298
R1450	CytotoxicT	1969
R1458	CytotoxicT	2470
R1460	CytotoxicT	1723
R1462	CytotoxicT	2744
R1464	CytotoxicT	2035
R1467	CytotoxicT	1744
R1468	CytotoxicT	2417
R1471	CytotoxicT	1713
R1478	CytotoxicT	2694
R1483	CytotoxicT	2293
R1485	CytotoxicT	1757
R1489	CytotoxicT	1796
R1491	CytotoxicT	1936
R1493	CytotoxicT	1762
R1495	CytotoxicT	2592
R1497	CytotoxicT	1684
R1498	CytotoxicT	2587
R1502	CytotoxicT	1912
R1504	CytotoxicT	1855
R1508	CytotoxicT	1757
R1511	CytotoxicT	1872
R1514	CytotoxicT	2814
R1518	CytotoxicT	2134
R1520	CytotoxicT	2452
R1524	CytotoxicT	1804
R1535	CytotoxicT	2112
R1537	CytotoxicT	2023
R1538	CytotoxicT	2934
R1541	CytotoxicT	1896
R1542	CytotoxicT	1865
R1543	CytotoxicT	1985
R1547	CytotoxicT	1792
R1549	CytotoxicT	1785
R1550	CytotoxicT	3387
R1551	CytotoxicT	2054
R1556	CytotoxicT	2821
R1562	CytotoxicT	2019
R1570	CytotoxicT	1960
R1576	CytotoxicT	2369
R1578	CytotoxicT	1976
R1587	CytotoxicT	1977
R1592	CytotoxicT	2077
R1594	CytotoxicT	1744
R1595	CytotoxicT	1887
R1604	CytotoxicT	1921
R1605	CytotoxicT	2819
R1608	CytotoxicT	2836
R1614	CytotoxicT	1753
R1620	CytotoxicT	1773
R1622	CytotoxicT	1740
R1623	CytotoxicT	3061
R1626	CytotoxicT	3383
R1627	CytotoxicT	1990
R1628	CytotoxicT	1718
R1630	CytotoxicT	2587
R1632	CytotoxicT	1910
R1635	CytotoxicT	1767
R1636	CytotoxicT	2620
R1640	CytotoxicT	1823
R1646	CytotoxicT	1757
R1648	CytotoxicT	1802
R1657	CytotoxicT	2448
R1658	CytotoxicT	1785
R1662	CytotoxicT	2291
R1671	CytotoxicT	1758
R1672	CytotoxicT	1927
R1676	CytotoxicT	1982
R1678	CytotoxicT	1840
R1679	CytotoxicT	1662
R1683	CytotoxicT	2016
R1687	CytotoxicT	1722
R1688	CytotoxicT	3088
R1691	CytotoxicT	1981
R1692	CytotoxicT	1773
R1699	CytotoxicT	1743
R1705	CytotoxicT	1933
R1706	CytotoxicT	1864
R1708	CytotoxicT	1812
R1714	CytotoxicT	1964
R1715	CytotoxicT	2138
R1733	CytotoxicT	1806
R1735	CytotoxicT	2229
R1745	CytotoxicT	1750
R1748	CytotoxicT	1924
R1750	CytotoxicT	1915
R1752	CytotoxicT	1676
R1756	CytotoxicT	2472
R1759	CytotoxicT	1746
R1760	CytotoxicT	2258
R1763	CytotoxicT	2465
R1772	CytotoxicT	1770
R1788	CytotoxicT	1821
R1790	CytotoxicT	1780
R1792	CytotoxicT	1751
R1796	CytotoxicT	1916
R1799	CytotoxicT	1938
R1804	CytotoxicT	1903
R1808	CytotoxicT	2302
R1812	CytotoxicT	2473
R1813	CytotoxicT	1668
R1820	CytotoxicT	1691
R1829	CytotoxicT	1970
R1831	CytotoxicT	1787
R1845	CytotoxicT	1782
R1847	CytotoxicT	1906
R1848	CytotoxicT	2325
R1849	CytotoxicT	1677
R1856	CytotoxicT	1732
R1860	CytotoxicT	2924
R1866	CytotoxicT	1895
R1867	CytotoxicT	2233
R1868	CytotoxicT	2507
R1873	CytotoxicT	3097
R1876	CytotoxicT	2531
R1881	CytotoxicT	1911
R1886	CytotoxicT	1909
R1890	CytotoxicT	2904
R1893	CytotoxicT	1943
R1894	CytotoxicT	1993
R1907	CytotoxicT	1730
R1908	CytotoxicT	1772
