cell	group	reads
R3878	CytotoxicT	1692
R3885	CytotoxicT	2510
R3888	CytotoxicT	3097
R3890	CytotoxicT	2094
R3897	CytotoxicT	2274
R3909	CytotoxicT	3192
R3914	CytotoxicT	1823
R3924	CytotoxicT	2341
R3931	CytotoxicT	2268
R3934	CytotoxicT	1728
R3938	CytotoxicT	1843
R3939	CytotoxicT	2205
R3952	CytotoxicT	1928
R3953	CytotoxicT	2785
R3961	CytotoxicT	2246
R3966	CytotoxicT	3052
R3968	CytotoxicT	2015
R3970	CytotoxicT	2034
R3972	CytotoxicT	2020
R3977	CytotoxicT	1793
R3979	CytotoxicT	1801
R3980	CytotoxicT	1986
R3981	CytotoxicT	1685
R3984	CytotoxicT	2220
R3985	CytotoxicT	1945
R3992	CytotoxicT	1873
R4004	CytotoxicT	2830
R4009	CytotoxicT	1975
R4016	CytotoxicT	1825
R4022	CytotoxicT	1908
R4023	CytotoxicT	1739
R4025	CytotoxicT	3251
R4026	CytotoxicT	1729
R4029	CytotoxicT	2155
R4040	CytotoxicT	2099
R4045	CytotoxicT	1971
R4051	CytotoxicT	1741
R4052	CytotoxicT	2750
R4054	CytotoxicT	1955
R4058	CytotoxicT	1739
R4059	CytotoxicT	2091
R4060	CytotoxicT	3612
R4068	CytotoxicT	1740
R4069	CytotoxicT	1667
R4076	CytotoxicT	1825
R4077	CytotoxicT	2934
R4078	CytotoxicT	3096
R4084	CytotoxicT	1941
R4086	CytotoxicT	1866
R4093	CytotoxicT	1748
R4094	CytotoxicT	1956
R4097	CytotoxicT	1767
R4111	CytotoxicT	1971
B5	MemoryB	1953
B11	MemoryB	3682
B14	MemoryB	2182
B19	MemoryB	1681
B26	MemoryB	1720
B30	MemoryB	1765
B34	MemoryB	1718
B37	MemoryB	1843
B45	MemoryB	1862
B49	MemoryB	1888
B57	MemoryB	2510
B61	MemoryB	1678
B80	MemoryB	1781
B82	MemoryB	1778
B91	MemoryB	2536
B93	MemoryB	2029
B95	MemoryB	1812
B113	MemoryB	1739
B115	MemoryB	2360
B116	MemoryB	2131
B120	MemoryB	2015
B122	MemoryB	1929
B123	MemoryB	3205
B127	MemoryB	1984
B128	MemoryB	1942
B137	MemoryB	1728
B139	MemoryB	2031
B140	MemoryB	2427
B150	MemoryB	2009
B165	MemoryB	1660
B167	MemoryB	1655
B174	MemoryB	2069
B187	MemoryB	2388
B194	MemoryB	2110
B196	MemoryB	2097
B201	MemoryB	1769
B203	MemoryB	1704
B204	MemoryB	1723
B221	MemoryB	1905
B224	MemoryB	2284
B226	MemoryB	2684
B227	MemoryB	1795
B238	MemoryB	1662
B244	MemoryB	2126
B245	MemoryB	1755
B248	MemoryB	1648
B250	MemoryB	1907
B252	MemoryB	1717
B256	MemoryB	1654
B259	MemoryB	1958
B260	MemoryB	1849
B261	MemoryB	1669
B265	MemoryB	1709
B266	MemoryB	1779
B273	MemoryB	2605
B277	MemoryB	2123
B283	MemoryB	3172
B287	MemoryB	1799
B290	MemoryB	3154
B291	MemoryB	2359
B296	MemoryB	1789
B303	MemoryB	1870
B308	MemoryB	2554
B309	MemoryB	1666
B312	MemoryB	1701
B314	MemoryB	1669
B315	MemoryB	2149
B320	MemoryB	2423
B324	MemoryB	2658
B340	MemoryB	2511
B341	MemoryB	2591
B344	MemoryB	1741
B347	MemoryB	2069
B350	MemoryB	1779
B351	MemoryB	1761
B358	MemoryB	2639
B362	MemoryB	2047
B363	MemoryB	2462
B366	MemoryB	2103
B379	MemoryB	3616
B380	MemoryB	1989
B381	MemoryB	2275
B383	MemoryB	1752
B388	MemoryB	1660
B392	MemoryB	1926
B395	MemoryB	1917
B399	MemoryB	1640
B401	MemoryB	1749
B403	MemoryB	1660
B413	MemoryB	2660
B417	MemoryB	1688
B421	MemoryB	1806
B422	MemoryB	1619
B434	MemoryB	2136
B453	MemoryB	2486
B463	MemoryB	1717
B464	MemoryB	2499
B465	MemoryB	3106
B467	MemoryB	1615
B473	MemoryB	1688
B480	MemoryB	2627
B484	MemoryB	1918
B487	MemoryB	1657
B491	MemoryB	1728
B502	MemoryB	2503
B503	MemoryB	3167
B505	MemoryB	1707
B509	MemoryB	1988
B516	MemoryB	1746
B522	MemoryB	2033
B529	MemoryB	1671
B530	MemoryB	2216
B537	MemoryB	1635
B539	MemoryB	2240
B543	MemoryB	1754
B555	MemoryB	1852
B556	MemoryB	1729
B557	MemoryB	2120
B558	MemoryB	2982
B560	MemoryB	1726
B561	MemoryB	1708
B564	MemoryB	1682
B568	MemoryB	1775
B578	MemoryB	2077
B584	MemoryB	1901
B590	MemoryB	2495
B592	MemoryB	1695
B594	MemoryB	1717
B595	MemoryB	1795
B597	MemoryB	1749
B599	MemoryB	1956
B602	MemoryB	1697
B604	MemoryB	1771
B605	MemoryB	1649
B609	MemoryB	1625
B610	MemoryB	1658
B614	MemoryB	2446
B615	MemoryB	1668
B617	MemoryB	1677
B618	MemoryB	1682
B620	MemoryB	1700
B624	MemoryB	2567
B627	MemoryB	2327
B630	MemoryB	1963
B634	MemoryB	2408
B648	MemoryB	2308
B656	MemoryB	2163
B659	MemoryB	1692
B660	MemoryB	2579
B669	MemoryB	1716
B671	MemoryB	1775
B672	MemoryB	1788
B679	MemoryB	1660
B681	MemoryB	2087
B682	MemoryB	2412
B683	MemoryB	1633
B687	MemoryB	1630
B690	MemoryB	1841
B694	MemoryB	1812
B696	MemoryB	1773
B720	MemoryB	1768
B726	MemoryB	1743
B736	MemoryB	1981
B739	MemoryB	2159
B740	MemoryB	1723
B741	MemoryB	2695
B745	MemoryB	1828
B756	MemoryB	2190
B762	MemoryB	2345
B767	MemoryB	3122
B768	MemoryB	1793
B773	MemoryB	2017
B776	MemoryB	1981
B779	MemoryB	2387
B782	MemoryB	3228
B783	MemoryB	2665
B784	MemoryB	1809
B785	MemoryB	1713
B796	MemoryB	1756
B797	MemoryB	1828
B798	MemoryB	1618
B803	MemoryB	1819
B804	MemoryB	2843
B807	MemoryB	1672
B808	MemoryB	1754
B809	MemoryB	1752
B810	MemoryB	2527
B814	MemoryB	1777
B822	MemoryB	1802
B824	MemoryB	2603
B830	MemoryB	1666
B832	MemoryB	1710
B854	MemoryB	2790
B856	MemoryB	1836
B858	MemoryB	1676
B865	MemoryB	1905
B870	MemoryB	2363
B875	MemoryB	1734
B877	MemoryB	2019
B878	MemoryB	1686
B881	MemoryB	1846
B885	MemoryB	1645
B891	MemoryB	1692
B909	MemoryB	1789
B913	MemoryB	1749
B915	MemoryB	1973
B921	MemoryB	2196
B927	MemoryB	1684
B929	MemoryB	2038
B933	MemoryB	1907
B935	MemoryB	1782
B936	MemoryB	3110
B944	MemoryB	1900
B950	MemoryB	2214
B964	MemoryB	1827
B966	MemoryB	1858
B968	MemoryB	1786
B970	MemoryB	1762
B971	MemoryB	1977
B972	MemoryB	1826
B982	MemoryB	2043
B984	MemoryB	3232
B985	MemoryB	1716
B988	MemoryB	1974
B992	MemoryB	2803
B998	MemoryB	1755
B1001	MemoryB	3731
B1011	MemoryB	1845
B1014	MemoryB	1964
B1015	MemoryB	2210
B1019	MemoryB	2080
B1022	MemoryB	1938
B1024	MemoryB	2995
B1027	MemoryB	1630
B1032	MemoryB	1778
B1033	MemoryB	1902
B1037	MemoryB	1680
B1039	MemoryB	1818
B1045	MemoryB	1966
B1051	MemoryB	1672
B1055	MemoryB	2105
B1063	MemoryB	2715
B1066	MemoryB	2335
B1076	MemoryB	1638
B1081	MemoryB	1731
B1085	MemoryB	2803
B1086	MemoryB	1725
B1089	MemoryB	2285
B1091	MemoryB	1779
B1093	MemoryB	2646
B1102	MemoryB	2088
B1111	MemoryB	1886
B1112	MemoryB	1760
B1114	MemoryB	2229
B1118	MemoryB	2620
B1121	MemoryB	2422
B1123	MemoryB	1752
B1127	MemoryB	1676
B1129	MemoryB	2604
B1133	MemoryB	2062
B1134	MemoryB	1727
B1135	MemoryB	2108
B1140	MemoryB	2701
B1144	MemoryB	2203
B1145	MemoryB	1867
B1147	MemoryB	1659
B1148	MemoryB	1799
B1151	MemoryB	1752
B1152	MemoryB	2057
B1156	MemoryB	2101
B1157	MemoryB	2367
B1158	MemoryB	2371
B1164	MemoryB	2210
B1183	MemoryB	1805
B1185	MemoryB	2154
B1186	MemoryB	1792
B1187	MemoryB	1758
B1194	MemoryB	1794
B1202	MemoryB	2214
B1211	MemoryB	2057
B1220	MemoryB	2019
B1221	MemoryB	1709
B1222	MemoryB	2349
B1230	MemoryB	2438
B1231	MemoryB	2351
B1243	MemoryB	1886
B1248	MemoryB	1772
B1251	MemoryB	1850
B1254	MemoryB	1951
B1262	MemoryB	1685
B1264	MemoryB	1750
B1268	MemoryB	2550
B1270	MemoryB	1776
B1272	MemoryB	2016
B1279	MemoryB	2427
B1285	MemoryB	2065
B1292	MemoryB	1605
B1294	MemoryB	2127
B1306	MemoryB	1673
B1318	MemoryB	1873
B1319	MemoryB	1767
B1326	MemoryB	1879
B1332	MemoryB	1740
B1334	MemoryB	2411
B1335	MemoryB	3054
B1337	MemoryB	1814
B1345	MemoryB	1805
B1351	MemoryB	1816
B1367	MemoryB	2004
B1368	MemoryB	1651
B1370	MemoryB	1808
B1377	MemoryB	1662
B1378	MemoryB	1660
B1385	MemoryB	1641
B1389	MemoryB	2261
B1391	MemoryB	2933
B1394	MemoryB	1815
B1410	MemoryB	1797
B1412	MemoryB	2098
B1415	MemoryB	1808
B1421	MemoryB	3514
B1422	MemoryB	2613
B1423	MemoryB	1786
B1427	MemoryB	1809
B1433	MemoryB	2114
B1436	MemoryB	2605
B1437	MemoryB	1797
B1440	MemoryB	1817
B1442	MemoryB	1984
B1449	MemoryB	2086
B1452	MemoryB	1775
B1457	MemoryB	2177
B1458	MemoryB	1723
B1459	MemoryB	2325
B1462	MemoryB	2343
B1463	MemoryB	1854
B1465	MemoryB	1802
B1471	MemoryB	1862
B1475	MemoryB	2134
B1477	MemoryB	1778
B1478	MemoryB	2056
B1479	MemoryB	1883
B1485	MemoryB	1666
B1490	MemoryB	1779
B1495	MemoryB	2826
B1497	MemoryB	2252
B1507	MemoryB	2252
B1508	MemoryB	2069
B1509	MemoryB	1671
B1514	MemoryB	2452
B1519	MemoryB	1637
B1529	MemoryB	1662
B1536	MemoryB	2110
B1538	MemoryB	1681
B1540	MemoryB	1852
B1548	MemoryB	1840
B1549	MemoryB	1664
B1552	MemoryB	1764
B1563	MemoryB	1649
B1567	MemoryB	1932
B1572	MemoryB	1677
B1574	MemoryB	2845
B1576	MemoryB	3084
B1579	MemoryB	1927
B1580	MemoryB	2119
B1589	MemoryB	1597
B1596	MemoryB	1625
B1597	MemoryB	2678
B1598	MemoryB	1715
B1612	MemoryB	1801
B1623	MemoryB	1818
B1626	MemoryB	1809
B1636	MemoryB	2208
B1642	MemoryB	1921
B1643	MemoryB	2155
B1644	MemoryB	1826
B1649	MemoryB	1957
B1662	MemoryB	1862
B1665	MemoryB	2061
B1676	MemoryB	1933
B1700	MemoryB	1894
B1701	MemoryB	1873
B1706	MemoryB	2294
B1708	MemoryB	1957
B1709	MemoryB	2136
B1714	MemoryB	1713
B1715	MemoryB	1825
B1718	MemoryB	1679
B1724	MemoryB	1804
B1729	MemoryB	1841
B1731	MemoryB	2137
B1742	MemoryB	1689
B1749	MemoryB	1774
B1753	MemoryB	2369
B1758	MemoryB	1728
B1759	MemoryB	1929
B1760	MemoryB	1765
B1770	MemoryB	2190
B1772	MemoryB	1863
B1778	MemoryB	1709
B1780	MemoryB	1650
B1788	MemoryB	1961
B1792	MemoryB	2056
B1793	MemoryB	2087
B1796	MemoryB	1990
B1805	MemoryB	2819
B1806	MemoryB	2355
B1807	MemoryB	2080
B1810	MemoryB	2292
B1812	MemoryB	1850
B1813	MemoryB	2734
B1817	MemoryB	1789
B1820	MemoryB	1963
B1826	MemoryB	1644
B1827	MemoryB	2074
B1829	MemoryB	1771
B1836	MemoryB	1772
B1838	MemoryB	2136
B1841	MemoryB	1676
B1847	MemoryB	1773
B1849	MemoryB	1745
B1866	MemoryB	1771
B1867	MemoryB	3009
B1879	MemoryB	1866
B1883	MemoryB	1740
B1898	MemoryB	1854
B1906	MemoryB	1708
B1908	MemoryB	1523
B1909	MemoryB	1913
B1913	MemoryB	2229
B1936	MemoryB	2523
B1939	MemoryB	2157
B1945	MemoryB	1984
B1950	MemoryB	1847
B1953	MemoryB	1860
B1956	MemoryB	1745
B1963	MemoryB	1654
B1966	MemoryB	1750
B1975	MemoryB	1793
B1977	MemoryB	2532
B1980	MemoryB	2073
B1986	MemoryB	1858
B1987	MemoryB	1824
B1998	MemoryB	1708
B2001	MemoryB	1778
B2002	MemoryB	2052
B2004	MemoryB	2823
B2005	MemoryB	1777
B2006	MemoryB	1875
B2019	MemoryB	2087
B2037	MemoryB	2163
B2039	MemoryB	1753
B2040	MemoryB	1969
B2047	MemoryB	2119
B2050	MemoryB	1692
B2053	MemoryB	1852
B2059	MemoryB	1672
B2060	MemoryB	3701
B2064	MemoryB	2194
B2078	MemoryB	2760
B2096	MemoryB	2418
B2099	MemoryB	1839
B2102	MemoryB	1673
B2108	MemoryB	1693
B2109	MemoryB	1701
B2114	MemoryB	2490
B2116	MemoryB	1721
B2119	MemoryB	1761
B2122	MemoryB	1740
B2130	MemoryB	2117
B2134	MemoryB	1839
B2135	MemoryB	1672
B2137	MemoryB	1820
B2138	MemoryB	2542
B2139	MemoryB	1567
B2148	MemoryB	1712
B2150	MemoryB	1800
B2151	MemoryB	1742
B2154	MemoryB	1644
B2157	MemoryB	2797
B2161	MemoryB	1692
B2163	MemoryB	1701
B2165	MemoryB	1772
B2166	MemoryB	1859
B2168	MemoryB	1690
B2177	MemoryB	2451
B2182	MemoryB	3287
B2189	MemoryB	2047
B2196	MemoryB	1868
B2200	MemoryB	1756
B2203	MemoryB	1746
B2204	MemoryB	2016
B2207	MemoryB	2978
B2212	MemoryB	3195
B2213	MemoryB	2609
B2216	MemoryB	1912
B2217	MemoryB	1799
B2221	MemoryB	2121
B2224	MemoryB	1964
B2226	MemoryB	2338
B2233	MemoryB	1640
B2240	MemoryB	2944
B2243	MemoryB	1734
B2245	MemoryB	1896
B2247	MemoryB	2000
B2248	MemoryB	2373
B2251	MemoryB	2034
B2252	MemoryB	1811
B2256	MemoryB	1821
B2257	MemoryB	2078
B2258	MemoryB	1768
B2260	MemoryB	2354
B2266	MemoryB	2396
B2269	MemoryB	2561
B2271	MemoryB	1888
B2274	MemoryB	1691
B2286	MemoryB	1851
B2288	MemoryB	2165
B2289	MemoryB	1734
B2298	MemoryB	1728
B2303	MemoryB	2184
B2318	MemoryB	2045
B2319	MemoryB	1917
B2321	MemoryB	2087
B2329	MemoryB	2143
B2333	MemoryB	3314
B2337	MemoryB	2520
B2345	MemoryB	2384
B2353	MemoryB	1860
B2356	MemoryB	2481
B2358	MemoryB	1694
B2364	MemoryB	2368
B2367	MemoryB	2469
B2375	MemoryB	2014
B2379	MemoryB	1895
B2383	MemoryB	1859
B2386	MemoryB	2469
B2391	MemoryB	1799
B2394	MemoryB	1698
B2395	MemoryB	2204
B2396	MemoryB	2529
B2409	MemoryB	2074
B2411	MemoryB	1774
B2412	MemoryB	2532
B2430	MemoryB	2552
B2431	MemoryB	2463
B2437	MemoryB	3282
B2438	MemoryB	2342
B2442	MemoryB	3041
B2444	MemoryB	1652
B2447	MemoryB	1827
B2448	MemoryB	2010
B2461	MemoryB	2474
B2462	MemoryB	1976
B2464	MemoryB	2159
B2468	MemoryB	2948
B2470	MemoryB	1860
B2471	MemoryB	1859
B2494	MemoryB	1909
B2499	MemoryB	1937
B2511	MemoryB	1739
B2522	MemoryB	2904
B2525	MemoryB	1983
B2531	MemoryB	1714
B2532	MemoryB	1687
B2535	MemoryB	2511
B2536	MemoryB	1890
B2537	MemoryB	1701
B2538	MemoryB	1699
B2539	MemoryB	3232
B2548	MemoryB	1906
B2557	MemoryB	2637
B2558	MemoryB	1852
B2559	MemoryB	1974
B2576	MemoryB	1658
B2586	MemoryB	1864
B2587	MemoryB	1982
B2590	MemoryB	2096
B2591	MemoryB	2606
B2597	MemoryB	1765
B2598	MemoryB	3262
B2603	MemoryB	2968
B2605	MemoryB	1894
B2613	MemoryB	1780
B2626	MemoryB	2049
B2627	MemoryB	1807
B2631	MemoryB	2569
B2639	MemoryB	2495
B2647	MemoryB	2047
B2649	MemoryB	1798
B2653	MemoryB	2183
B2655	MemoryB	1701
B2656	MemoryB	1710
B2657	MemoryB	2014
B2662	MemoryB	1852
B2667	MemoryB	1693
B2674	MemoryB	2115
B2676	MemoryB	1716
B2677	MemoryB	1761
B2678	MemoryB	3513
B2679	MemoryB	2532
B2681	MemoryB	1777
B2682	MemoryB	2637
B2690	MemoryB	2098
B2695	MemoryB	1685
B2716	MemoryB	1791
B2725	MemoryB	2099
B2729	MemoryB	1893
B2732	MemoryB	1781
B2738	MemoryB	2303
B2740	MemoryB	2023
B2741	MemoryB	2054
B2752	MemoryB	2035
B2755	MemoryB	2110
B2760	MemoryB	2376
B2766	MemoryB	1994
B2774	MemoryB	3011
B2782	MemoryB	1771
B2784	MemoryB	1711
B2786	MemoryB	1981
B2788	MemoryB	2033
B2798	MemoryB	1762
B2809	MemoryB	2469
B2813	MemoryB	1894
B2814	MemoryB	1714
B2817	MemoryB	1787
B2821	MemoryB	2658
B2826	MemoryB	1918
B2828	MemoryB	1665
B2829	MemoryB	1704
B2830	MemoryB	1638
B2831	MemoryB	1638
B2841	MemoryB	1662
B2844	MemoryB	2119
B2849	MemoryB	1724
B2850	MemoryB	2606
B2851	MemoryB	1882
B2853	MemoryB	1670
B2855	MemoryB	1703
B2863	MemoryB	2338
B2864	MemoryB	2718
B2869	MemoryB	1872
B2872	MemoryB	1877
B2877	MemoryB	1859
B2878	MemoryB	2593
B2879	MemoryB	1944
B2880	MemoryB	1933
B2885	MemoryB	2475
B2886	MemoryB	2217
B2892	MemoryB	2697
B2903	MemoryB	3219
B2908	MemoryB	1676
B2912	MemoryB	1671
B2916	MemoryB	2114
B2917	MemoryB	1869
B2925	MemoryB	2370
B2941	MemoryB	2340
B2943	MemoryB	1868
B2947	MemoryB	2739
B2960	MemoryB	1621
B2961	MemoryB	1848
B2970	MemoryB	2267
B2972	MemoryB	1723
B2981	MemoryB	1701
B2982	MemoryB	1823
B2987	MemoryB	2144
B2990	MemoryB	1659
B2995	MemoryB	1887
B2997	MemoryB	1710
B3001	MemoryB	2257
B3003	MemoryB	1762
B3005	MemoryB	2426
B3014	MemoryB	2589
B3025	MemoryB	1874
B3026	MemoryB	1650
B3032	MemoryB	1903
B3037	MemoryB	1843
B3039	MemoryB	1667
B3044	MemoryB	3038
B3048	MemoryB	2170
B3062	MemoryB	2303
B3063	MemoryB	2151
B3064	MemoryB	2272
B3070	MemoryB	2039
B3071	MemoryB	1800
B3076	MemoryB	1929
B3080	MemoryB	2750
B3081	MemoryB	1854
B3083	MemoryB	1620
B3084	MemoryB	1752
B3085	MemoryB	1676
B3088	MemoryB	1670
B3094	MemoryB	1743
B3098	MemoryB	1869
B3106	MemoryB	1688
B3107	MemoryB	2423
B3111	MemoryB	2790
B3113	MemoryB	2343
B3120	MemoryB	1926
B3128	MemoryB	2745
B3136	MemoryB	2882
B3140	MemoryB	2342
B3157	MemoryB	2247
B3158	MemoryB	1836
B3160	MemoryB	1725
B3161	MemoryB	2772
B3163	MemoryB	3610
B3164	MemoryB	1630
B3167	MemoryB	2198
B3178	MemoryB	1749
B3179	MemoryB	2406
B3181	MemoryB	2219
B3183	MemoryB	1655
B3193	MemoryB	1925
B3198	MemoryB	1764
B3205	MemoryB	1736
B3206	MemoryB	1886
B3207	MemoryB	1910
B3211	MemoryB	1864
B3213	MemoryB	1885
B3214	MemoryB	1683
B3221	MemoryB	1808
B3223	MemoryB	1778
B3225	MemoryB	1685
B3226	MemoryB	2479
B3229	MemoryB	1755
B3236	MemoryB	1982
B3240	MemoryB	1670
B3242	MemoryB	1825
B3246	MemoryB	1998
B3247	MemoryB	1804
B3252	MemoryB	1717
B3258	MemoryB	2187
B3264	MemoryB	1938
B3266	MemoryB	1685
B3273	MemoryB	2012
B3274	MemoryB	1789
B3276	MemoryB	3427
B3284	MemoryB	1779
B3295	MemoryB	1707
B3297	MemoryB	2756
B3303	MemoryB	1808
B3306	MemoryB	1694
B3311	MemoryB	2333
B3312	MemoryB	2300
B3313	MemoryB	1913
B3325	MemoryB	2284
B3328	MemoryB	2512
B3329	MemoryB	1682
B3336	MemoryB	2996
B3340	MemoryB	1839
B3345	MemoryB	1810
B3349	MemoryB	2154
B3350	MemoryB	1646
B3351	MemoryB	1849
B3364	MemoryB	1789
B3368	MemoryB	2967
B3372	MemoryB	2066
B3375	MemoryB	1794
B3376	MemoryB	2373
B3378	MemoryB	1698
B3379	MemoryB	1692
B3380	MemoryB	2723
B3382	MemoryB	2137
B3390	MemoryB	1882
B3391	MemoryB	1931
B3394	MemoryB	2015
B3396	MemoryB	1851
B3401	MemoryB	2113
B3402	MemoryB	3547
B3407	MemoryB	1969
B3421	MemoryB	2210
B3424	MemoryB	1774
B3429	MemoryB	2139
B3433	MemoryB	2347
B3437	MemoryB	2304
B3443	MemoryB	1637
B3445	MemoryB	1766
B3448	MemoryB	1808
B3450	MemoryB	2184
B3451	MemoryB	1867
B3453	MemoryB	1931
B3459	MemoryB	1848
B3468	MemoryB	2186
B3480	MemoryB	1816
B3481	MemoryB	2136
B3486	MemoryB	2791
B3488	MemoryB	1793
B3493	MemoryB	1878
B3496	MemoryB	2664
B3497	MemoryB	1810
B3499	MemoryB	1670
B3501	MemoryB	2329
B3511	MemoryB	1852
B3514	MemoryB	2155
B3516	MemoryB	1764
B3517	MemoryB	2029
B3518	MemoryB	2014
B3519	MemoryB	2243
B3520	MemoryB	1861
B3521	MemoryB	1992
B3522	MemoryB	1664
B3526	MemoryB	1889
B3530	MemoryB	1663
B3531	MemoryB	1996
B3532	MemoryB	1956
B3534	MemoryB	1784
B3542	MemoryB	1775
B3543	MemoryB	2509
B3550	MemoryB	2394
B3563	MemoryB	2127
B3564	MemoryB	2591
B3568	MemoryB	1812
B3571	MemoryB	1815
B3574	MemoryB	1895
B3575	MemoryB	2216
B3578	MemoryB	1691
B3583	MemoryB	2021
B3594	MemoryB	1915
B3599	MemoryB	1596
B3601	MemoryB	2723
B3602	MemoryB	1749
B3604	MemoryB	1642
B3611	MemoryB	1750
B3613	MemoryB	1810
B3614	MemoryB	1706
B3617	MemoryB	2348
B3618	MemoryB	2261
B3619	MemoryB	1732
B3622	MemoryB	1834
B3628	MemoryB	1841
B3629	MemoryB	2891
B3634	MemoryB	1979
B3635	MemoryB	1711
B3637	MemoryB	1750
B3641	MemoryB	1674
B3646	MemoryB	2348
B3655	MemoryB	1673
B3658	MemoryB	2729
B3666	MemoryB	1691
B3673	MemoryB	2183
B3674	MemoryB	1654
B3683	MemoryB	2143
B3690	MemoryB	1630
B3694	MemoryB	1782
B3695	MemoryB	1685
B3699	MemoryB	1952
B3700	MemoryB	2668
B3704	MemoryB	2581
B3706	MemoryB	2339
B3712	MemoryB	1797
B3716	MemoryB	1740
B3721	MemoryB	1795
B3733	MemoryB	1982
B3736	MemoryB	1644
B3737	MemoryB	2672
B3738	MemoryB	2126
B3740	MemoryB	1639
B3741	MemoryB	1642
B3746	MemoryB	1921
B3768	MemoryB	2695
B3780	MemoryB	3050
B3781	MemoryB	1774
B3784	MemoryB	1862
B3786	MemoryB	2481
B3787	MemoryB	1970
B3792	MemoryB	1996
B3808	MemoryB	1776
B3812	MemoryB	2630
B3814	MemoryB	1898
B3826	MemoryB	2169
B3827	MemoryB	2006
B3828	MemoryB	2160
B3833	MemoryB	2425
B3839	MemoryB	1770
B3840	MemoryB	1870
B3843	MemoryB	1741
B3858	MemoryB	3019
B3865	MemoryB	1946
B3870	MemoryB	1632
B3877	MemoryB	1787
B3879	MemoryB	1709
B3880	MemoryB	1635
B3883	MemoryB	1764
B3885	MemoryB	1776
B3902	MemoryB	2652
B3906	MemoryB	1709
B3918	MemoryB	2329
B3930	MemoryB	1721
B3933	MemoryB	1932
B3934	MemoryB	1758
B3939	MemoryB	1643
B3942	MemoryB	1755
B3948	MemoryB	1725
B3950	MemoryB	2192
B3967	MemoryB	1741
B3971	MemoryB	1697
B3976	MemoryB	1801
B3977	MemoryB	2099
B3979	MemoryB	2497
B3980	MemoryB	1814
B3981	MemoryB	1826
B3985	MemoryB	2557
B3988	MemoryB	1701
B3991	MemoryB	1814
B4002	MemoryB	1807
B4004	MemoryB	1829
B4006	MemoryB	1884
B4007	MemoryB	1937
B4011	MemoryB	1878
B4019	MemoryB	2773
B4021	MemoryB	1825
B4023	MemoryB	1820
B4025	MemoryB	2016
B4027	MemoryB	2520
B4032	MemoryB	1631
B4043	MemoryB	2224
B4045	MemoryB	1704
B4046	MemoryB	2491
B4047	MemoryB	1739
B4048	MemoryB	1938
B4049	MemoryB	1894
B4053	MemoryB	3498
B4055	MemoryB	2170
B4061	MemoryB	2112
B4062	MemoryB	1689
B4063	MemoryB	2567
B4071	MemoryB	1746
B4074	MemoryB	1865
B4076	MemoryB	2010
B4084	MemoryB	1740
B4085	MemoryB	3405
B4095	MemoryB	1940
B4098	MemoryB	2134
B4099	MemoryB	2066
B4101	MemoryB	1814
B4102	MemoryB	2135
B4109	MemoryB	2454
B4115	MemoryB	1786
B4117	MemoryB	1974
B4125	MemoryB	1781
B4126	MemoryB	2977
B4131	MemoryB	1898
B4132	MemoryB	1712
B4133	MemoryB	1701
B4135	MemoryB	2034
B4146	MemoryB	1821
B4152	MemoryB	2148
B4157	MemoryB	1868
B4166	MemoryB	1667
B4169	MemoryB	1912
B4173	MemoryB	1759
B4176	MemoryB	2380
B4179	MemoryB	1720
B4180	MemoryB	3253
B4183	MemoryB	2329
B4186	MemoryB	2486
B4189	MemoryB	1636
B4190	MemoryB	1788
B4192	MemoryB	2157
B4196	MemoryB	2458
B4197	MemoryB	2838
B4200	MemoryB	2541
B4201	MemoryB	2263
B4203	MemoryB	2324
B4209	MemoryB	2319
B4210	MemoryB	1898
B4211	MemoryB	1696
B4213	MemoryB	1877
B4214	MemoryB	2519
B4225	MemoryB	1658
B4230	MemoryB	1812
B4237	MemoryB	2045
B4239	MemoryB	2461
B4241	MemoryB	1772
B4242	MemoryB	1700
B4245	MemoryB	1979
B4248	MemoryB	2343
B4253	MemoryB	1756
B4258	MemoryB	2074
B4266	MemoryB	2791
B4274	MemoryB	1826
B4279	MemoryB	1970
B4280	MemoryB	1830
B4282	MemoryB	1785
B4289	MemoryB	2028
B4291	MemoryB	1891
B4306	MemoryB	1743
B4309	MemoryB	3007
B4310	MemoryB	2275
B4319	MemoryB	1660
B4321	MemoryB	1649
B4324	MemoryB	2590
B4325	MemoryB	2515
B4326	MemoryB	1693
B4329	MemoryB	1803
B4336	MemoryB	1741
B4337	MemoryB	1858
B4343	MemoryB	1802
B4351	MemoryB	1671
