ko.id	ko.desc	ko.sym	ko.ec	path.id	path.desc	path.type	b.id	b.desc	a.id	a.desc
K26361	small nucleolar RNA SNORA69	SNORA69, U69		ko03100	Non-coding RNAs	KEGG_BRITE	9184	RNA family	9180	Brite Hierarchies
K26362	small nucleolar RNA SNORA72	SNORA72, U72		ko03100	Non-coding RNAs	KEGG_BRITE	9184	RNA family	9180	Brite Hierarchies
K26363	small nucleolar RNA SNORA75	SNORA75, U23		ko03100	Non-coding RNAs	KEGG_BRITE	9184	RNA family	9180	Brite Hierarchies
K26364	mimosinase	K26364	4.3.3.8	99980	Enzymes with EC numbers	notIncPathBrite	9191	Unclassified: metabolism	9190	Not Included in Pathway or Brite
K26365	canavanine-gamma-lyase	cangL	4.4.1.43	99980	Enzymes with EC numbers	notIncPathBrite	9191	Unclassified: metabolism	9190	Not Included in Pathway or Brite
K26366	Ascoviridae DNA polymerase	ORF1	2.7.7.7	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26367	Iridoviridae putative DNA polymerase	FV3-060R	2.7.7.7	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26368	Iridoviridae putative DNA-directed RNA polymerase	FV3-008R	2.7.7.6	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26369	Iridoviridae putative DNA-directed RNA polymerase II subunit RPB2	FV3-062L	2.7.7.6	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26370	Iridovirus probable DNA-directed RNA polymerase subunit	IIV6-343L	2.7.7.6	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26371	Iridovirus putative DNA-directed RNA polymerase subunit	IIV6-454R		ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26372	Asfivirus DNA-directed RNA polymerase RPB1	NP1450L	2.7.7.6	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26373	Asfivirus DNA-directed RNA polymerase RPB2	EP1242L	2.7.7.6	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26374	Asfivirus DNA-directed RNA polymerase RPB6	C147L		ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26375	Asfivirus DNA-directed RNA polymerase RPB5	D205R		ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26376	Asfivirus DNA-directed RNA polymerase RPB10	CP80R		ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26377	Asfivirus DNA-directed RNA polymerase RPB3-11	H359L		ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26378	Asfivirus repair DNA polymerase X	O174L	2.7.7.7	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26379	Asfivirus DNA polymerase beta	DPOL	2.7.7.7	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26380	thiohydroximate-O-sulfate sulfate/sulfur-lyase (nitrile-forming)	NSP	4.8.1.5	99980	Enzymes with EC numbers	notIncPathBrite	9191	Unclassified: metabolism	9190	Not Included in Pathway or Brite
K26381	N-(sulfonatooxy)alkenimidothioic acid sulfate-lyase (epithionitrile-forming)	ESP	4.8.1.6	99980	Enzymes with EC numbers	notIncPathBrite	9191	Unclassified: metabolism	9190	Not Included in Pathway or Brite
K26382	phenyl-N-(sulfonatooxy)methanimidothioate sulfolyase	TFP	4.8.1.7	99980	Enzymes with EC numbers	notIncPathBrite	9191	Unclassified: metabolism	9190	Not Included in Pathway or Brite
