ko.id	ko.desc	ko.sym	ko.ec	path.id	path.desc	path.type	b.id	b.desc	a.id	a.desc
K26511	Bocaparvovirus minor capsid protein VP1	VP1	3.1.1.4	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26512	Simplexvirus alkaline nuclease	UL12	3.1.-.-	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26513	Simplexvirus uracil-DNA glycosylase	UL2	3.2.2.27	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26514	Rhadinovirus serine/threonine protein kinase	ORF36	2.7.11.1	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26515	Rhadinovirus E3 ubiquitin-protein ligase MIR1	K3	2.3.2.36	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26516	Leporipoxvirus E3 ubiquitin-protein ligase LAP	LAP	2.3.2.27	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26517	Panicovirus RNA-directed RNA polymerase	ORF1	2.7.7.48	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26518	Circovirus replication-associated protein	Rep	2.7.7.- | 3.1.21.- | 3.6.1.-	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26519	SLP adapter and CSK-interacting membrane protein	SCIMP		99995	Signaling proteins	notIncPathBrite	9193	Unclassified: signaling and cellular processes	9190	Not Included in Pathway or Brite
K26520	proline-rich protein 7	PRR7		99995	Signaling proteins	notIncPathBrite	9193	Unclassified: signaling and cellular processes	9190	Not Included in Pathway or Brite
K26521	hosphoprotein associated with glycosphingolipid-enriched microdomains 1	PAG1		99995	Signaling proteins	notIncPathBrite	9193	Unclassified: signaling and cellular processes	9190	Not Included in Pathway or Brite
K26522	Lck-interacting transmembrane adapter 1	LIME1		99995	Signaling proteins	notIncPathBrite	9193	Unclassified: signaling and cellular processes	9190	Not Included in Pathway or Brite
K26523	protein GAPT	GAPT		99995	Signaling proteins	notIncPathBrite	9193	Unclassified: signaling and cellular processes	9190	Not Included in Pathway or Brite
K26524	leukocyte-specific transcript 1 protein	LST1		99995	Signaling proteins	notIncPathBrite	9193	Unclassified: signaling and cellular processes	9190	Not Included in Pathway or Brite
K26525	Dianthovirus RNA-directed RNA polymerase	ORF1	2.7.7.48	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26526	Hantaviridae nucleoprotein	N	3.1.-.-	map03273	Virion - Lassa virus and SFTS virus	KEGG_pathway	9125	Information processing in viruses	9120	Genetic Information Processing
K26527	Rudiviridae holliday junction resolvase	hjc	3.1.21.10	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26528	Begomovirus replication-associated protein	C1	2.7.7.- | 3.1.21.-	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26529	Poxviridae dUTP diphosphatase	F2L	3.6.1.23	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26530	Poxviridae DNA ligase	A50R	6.5.1.1	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26531	Poxviridae mRNA-decapping protein	D9R	3.1.3.-	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26532	Poxviridae mRNA-decapping protein	D10R	3.1.3.-	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26533	Poxviridae putative nuclease	G5R	3.1.-.-	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26534	Poxviridae DNA holliday junction resolvase	A22R	3.1.-.-	ko03200	Viral proteins	KEGG_BRITE	9185	Viral protein families	9180	Brite Hierarchies
K26535	hereditary hemochromatosis protein	HFE		map04350	TGF-beta signaling pathway	KEGG_pathway	9132	Signal transduction	9130	Environmental Information Processing
K26536	active regulator of SIRT1	RPS19BP1		ko03009	Ribosome biogenesis	KEGG_BRITE	9182	Protein families: genetic information processing	9180	Brite Hierarchies
K26537	protein UXT	UXT		ko03036	Chromosome and associated proteins	KEGG_BRITE	9182	Protein families: genetic information processing	9180	Brite Hierarchies
K26538	protein PHOX	PHOX		ko03110	Chaperones and folding catalysts	KEGG_BRITE	9182	Protein families: genetic information processing	9180	Brite Hierarchies
K26539	actin maturation protease	ACTMAP	3.4.11.-	ko04812	Cytoskeleton proteins	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
K26540	stomatal closure-related actin-binding protein	SCAB		ko04812	Cytoskeleton proteins	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
K26541	RELT-like protein	RELL		map04060	Cytokine-cytokine receptor interaction	KEGG_pathway	9133	Signaling molecules and interaction	9130	Environmental Information Processing
K26542	zinc finger protein 346	ZNF346, JAZ		ko04990	Domain-containing proteins not elsewhere classified	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
K26543	zinc finger protein 385A	ZNF385A, HZF		map04115	p53 signaling pathway	KEGG_pathway	9143	Cell growth and death	9140	Cellular Processes
K26544	phosphatidylinositol/phosphatidylcholine transfer protein	SEC14, SEC14L		ko02000	Transporters	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
K26545	ubiquitin-associated protein 2	UBAP2		ko04121	Ubiquitin system	KEGG_BRITE	9182	Protein families: genetic information processing	9180	Brite Hierarchies
K26546	SH3 domain-containing protein Dlish	Dlish		ko04121	Ubiquitin system	KEGG_BRITE	9182	Protein families: genetic information processing	9180	Brite Hierarchies
K26547	macrophage-expressed gene 1 protein	MPEG1		ko02000	Transporters	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
K26548	MFS transporter, POT/PTR family, nitrate transporter	NPF4, NRT1		ko02000	Transporters	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
K26549	MFS transporter, POT/PTR family, nitrate transporter	NPF6, NRT1		ko02000	Transporters	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
K26550	cell wall mannoprotein	PIR		99992	Structural proteins	notIncPathBrite	9193	Unclassified: signaling and cellular processes	9190	Not Included in Pathway or Brite
K26551	MFS transporter, POT/PTR family, low-affinity nitrate transporter	NPF1, NRT1		ko02000	Transporters	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
K26552	MFS transporter, POT/PTR family, nitrate/chloride/glucosinolate transporter	NPF2, GTR, NRT1		ko02000	Transporters	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
K26553	MFS transporter, POT/PTR family, nitrite transporter	NPF3, NITR, NRT1		ko02000	Transporters	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
K26554	MFS transporter, POT/PTR family, low-affinity nitrate transporter	NPF7, NRT1		ko02000	Transporters	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
K26555	dynein heavy chain domain-containing protein 1	DNHD1		ko03037	Cilium and associated proteins	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
K26556	DNA repair RAD52-like protein 1, mitochondrial	RAD52-1		ko03400	DNA repair and recombination proteins	KEGG_BRITE	9182	Protein families: genetic information processing	9180	Brite Hierarchies
K26557	protein SPA1-related 3/4	SPA3_4		map04712	Circadian rhythm - plant	KEGG_pathway	9159	Environmental adaptation	9150	Organismal Systems
K26558	DNA repair RAD52-like protein 2, chloroplastic	RAD52-2		ko03400	DNA repair and recombination proteins	KEGG_BRITE	9182	Protein families: genetic information processing	9180	Brite Hierarchies
K26559	single-stranded DNA-binding protein WHY1	WHY1		ko03400	DNA repair and recombination proteins	KEGG_BRITE	9182	Protein families: genetic information processing	9180	Brite Hierarchies
K26560	single-stranded DNA-binding protein WHY3	WHY3		ko03400	DNA repair and recombination proteins	KEGG_BRITE	9182	Protein families: genetic information processing	9180	Brite Hierarchies
K26561	single-stranded DNA-binding protein WHY2	WHY2		ko03400	DNA repair and recombination proteins	KEGG_BRITE	9182	Protein families: genetic information processing	9180	Brite Hierarchies
K26562	MFS transporter, POT/PTR family, peptide/nitrate/nicotianamine transporter	NPF5, NRT1, NAET		ko02000	Transporters	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
K26563	high-affinity nitrate transporter	NRT3, NAR2		ko02000	Transporters	KEGG_BRITE	9183	Protein families: signaling and cellular processes	9180	Brite Hierarchies
K26564	nuclear pore-associated protein 1	NPAP1		ko03019	Messenger RNA biogenesis	KEGG_BRITE	9182	Protein families: genetic information processing	9180	Brite Hierarchies
K26565	colibactin biosynthesis nonribosomal peptide synthase	clbH		map01054	Nonribosomal peptide structures	KEGG_pathway	9109	Metabolism of terpenoids and polyketides	9100	Metabolism
K26566	colibactin biosynthesis acyl carrier protein	clbE		map01054	Nonribosomal peptide structures	KEGG_pathway	9109	Metabolism of terpenoids and polyketides	9100	Metabolism
K26567	colibactin biosynthesis 3-hydroxyacyl-CoA dehydrogenase	clbD		map01054	Nonribosomal peptide structures	KEGG_pathway	9109	Metabolism of terpenoids and polyketides	9100	Metabolism
K26568	colibactin biosynthesis acyl-CoA dehydrogenase	clbF		map01054	Nonribosomal peptide structures	KEGG_pathway	9109	Metabolism of terpenoids and polyketides	9100	Metabolism
K26569	colibactin biosynthesis malonyl-CoA transacylase	clbG		map01054	Nonribosomal peptide structures	KEGG_pathway	9109	Metabolism of terpenoids and polyketides	9100	Metabolism
K26570	colibactin biosynthesis thioesterase	clbQ		map01054	Nonribosomal peptide structures	KEGG_pathway	9109	Metabolism of terpenoids and polyketides	9100	Metabolism
K26571	colibactin biosynthesis amidase	clbL		map01054	Nonribosomal peptide structures	KEGG_pathway	9109	Metabolism of terpenoids and polyketides	9100	Metabolism
K26572	colibactin biosynthesis nonribosomal peptide synthase	clbN		map01054	Nonribosomal peptide structures	KEGG_pathway	9109	Metabolism of terpenoids and polyketides	9100	Metabolism
K26573	colibactin biosynthesis hybrid nonribosomal peptide/polyketide synthase	clbB		map01054	Nonribosomal peptide structures	KEGG_pathway	9109	Metabolism of terpenoids and polyketides	9100	Metabolism
K26574	colibactin biosynthesis polyketide synthase	clbC		map01054	Nonribosomal peptide structures	KEGG_pathway	9109	Metabolism of terpenoids and polyketides	9100	Metabolism
K26575	colibactin biosynthesis polyketide synthase	clbI		map01054	Nonribosomal peptide structures	KEGG_pathway	9109	Metabolism of terpenoids and polyketides	9100	Metabolism
K26576	colibactin biosynthesis polyketide synthase	clbO		map01054	Nonribosomal peptide structures	KEGG_pathway	9109	Metabolism of terpenoids and polyketides	9100	Metabolism
