entity	from	gene	desc	ncg.bst	diff.btw	diff.win	qval0.0	qval0.1	qval0.2	qval0.3	qval0.4	qval0.5
ENSG00000226051	0.3	ZNF503-AS1	ZNF503 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27370]	n/a	-1.12990838987368	2.28503130802372	0.000156868591061661	0.00087776310466229	0.0177912564343261	0.0637249093475244	0.123261651109806	0.185977918972733
ENSG00000226124	0.3	FTCDNL1	formiminotransferase cyclodeaminase N-terminal like [Source:HGNC Symbol;Acc:HGNC:48661]	n/a	0.756106148308698	1.29626758134339	1.04879114651327e-06	0.000190259156684134	0.0339284157684274	0.130887853868519	0.195558871804615	0.225393255875208
ENSG00000226174	0.3	TEX22	testis expressed 22 [Source:HGNC Symbol;Acc:HGNC:40026]	n/a	0.749846231525613	1.60492247801004	0.000107632856724819	0.00102535926776805	0.0274670584382866	0.104404230985225	0.174468194707053	0.2144877135892
ENSG00000226180	0.3		novel transcript	n/a	0.602889813105921	1.28725497628158	5.23257068279198e-06	0.000349744083367536	0.0376196386448567	0.139985448882135	0.194748959925627	0.235533592636542
ENSG00000226312	0.3	CFLAR-AS1	CFLAR antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:14437]	n/a	-0.818890922004446	1.67629715043404	2.48715957728777e-05	0.00122552393717643	0.0323348077309885	0.100841184143254	0.163222270369698	0.226187911012904
ENSG00000226415	0.3	TPI1P1	triosephosphate isomerase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:35449]	n/a	0.923702182153496	1.3036334107603	1.41847698097951e-08	1.4426251601169e-06	0.000946886060504779	0.061838481335551	0.116768592947604	0.163425210399646
ENSG00000226419	0.3	SLC16A1-AS1	SLC16A1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49445]	n/a	-0.884386963313835	1.05021985583078	6.70210210532177e-11	5.43896858518519e-05	0.0225608757004161	0.065088446299067	0.148711820896091	0.202119416492073
ENSG00000226450	0.3	CYP2D8P	"ccytochrome P450 family 2 subfamily D member 8, pseudogene [Source:HGNC Symbol;Acc:HGNC:2628]"	n/a	-0.911072268687704	2.05416850378849	8.55502154049776e-05	0.00148806295362259	0.0180977043628059	0.0765109884107256	0.147401021211676	0.193691251585276
ENSG00000226472	0.3		tetraspanin family pseudogene	n/a	-1.03181377622741	1.84511644609668	2.69398316343456e-05	0.000549431750760272	0.0146567755425197	0.0509470075112339	0.095255228979951	0.150823170006116
ENSG00000226648	0.3	PLCG1-AS1	PLCG1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40450]	n/a	-0.825979860166507	1.42354122476762	3.28250039347556e-06	0.000348610076804057	0.0317322565058444	0.0900893640703233	0.174709357154742	0.221148464905286
